Run_ID,2-hydroxyglutarate,lactate,glutamine,asparagine,aspartate,tryptophan,methionine
RERFLCAD2_LUNG,5.7128584,5.9163083,5.8911579,6.0770677,5.9358648,5.9298857,5.8312003
NCIH2087_LUNG,5.5876591,5.9760549,5.9761439,5.1010869,6.0542844,6.0305866,6.087022
NCIH2085_LUNG,6.0494837,5.7309398,6.4283253,5.1575107,5.6104299,6.1044224,6.106211
NCIH1573_LUNG,6.0973191,5.9311607,5.7890818,5.3094933,5.3837175,5.8205144,5.7679097
NCIH1666_LUNG,6.0911016,6.0310813,5.9517639,5.200044,5.5729747,6.0832652,5.5446498
NCIH1734_LUNG,5.6586349,5.834623,6.0151752,5.9988958,6.0249425,6.0593164,6.0282047
NCIH2342_LUNG,5.6610051,5.6295487,6.3646965,5.0665325,6.2741396,6.3870103,6.2875365
NCIH322_LUNG,5.5604244,5.8894495,5.964613,6.2283661,6.0139322,5.73822,5.598219
NCIH2291_LUNG,5.46753,5.6494333,5.0464561,5.3801184,6.0675649,5.1341231,4.9736566
CORL105_LUNG,7.7526789,5.9250123,5.8094795,6.2445765,6.2267214,6.3222068,6.3320536
HCC2279_LUNG,5.6005307,5.867646,5.8847985,6.1337634,6.2006922,5.8261646,5.9116306
NCIH838_LUNG,6.4105807,6.1297959,5.8377784,5.9087428,6.0497475,5.6446562,5.7093224
NCIH2228_LUNG,5.5949633,5.6476055,5.8510157,6.1347896,6.0086643,5.347559,5.839453
CALU6_LUNG,5.7116706,6.0495141,5.8491601,5.7787463,6.3582324,6.1746065,6.0723711
SKLU1_LUNG,5.6948138,5.4854102,6.1460956,5.0833633,5.3768916,6.2183674,5.995353
PC14_LUNG,5.7284083,6.0962744,5.5971247,6.1695694,6.3263579,6.1249185,6.1223295
RERFLCMS_LUNG,5.7620545,5.7385168,6.1562782,5.8817649,6.2312824,6.2075994,5.9562306
MORCPR_LUNG,6.3661598,6.0354678,6.4136545,6.2629154,5.8165433,5.6665369,5.7802305
NCIH1568_LUNG,6.1161506,5.9853571,6.1507003,6.025457,5.9123629,5.9549053,6.0144832
NCIH1563_LUNG,5.8354925,5.7429997,6.1238351,5.936361,5.9625639,5.9960534,6.0740896
NCIH358_LUNG,6.3867051,6.2632989,5.478087,5.9704684,5.7811235,5.8383541,5.8627343
NCIH1650_LUNG,6.2173452,5.8490019,5.9704004,5.8781558,5.9579416,5.9237272,5.7734945
NCIH1793_LUNG,5.9356844,5.8447515,6.0431843,5.0258332,5.3135369,6.1152426,5.9542423
