"","Gene","Ranksum","Rankcount","thresh","thresh.val","total.iter"
"1","SLAMF6",3539,34,"strict",0.005,200
"2","ASTN1",1461,12,"strict",0.005,200
"3","CYP2C9",1186,14,"strict",0.005,200
"4","SLITRK6",125,1,"strict",0.005,200
"5","STAB2",406,2,"strict",0.005,200
"6","CYP39A1",495,5,"strict",0.005,200
"7","GKN1",95,1,"strict",0.005,200
"8","UNC93A",87,1,"strict",0.005,200
"9","CHST2",63,1,"strict",0.005,200
"10","ATP1A3",94,1,"strict",0.005,200
"11","SERPINA10",3475,90,"strict",0.005,200
"12","FSD1",1727,19,"strict",0.005,200
"13","BPIFB1",5396,159,"strict",0.005,200
"14","XIRP2",4133,179,"strict",0.005,200
"15","MYH13",2829,38,"strict",0.005,200
"16","ROS1",46,1,"strict",0.005,200
"17","SH2D1A",182,1,"strict",0.005,200
"18","PRAMEF25",291,2,"strict",0.005,200
"19","ERVMER34-1",153,1,"strict",0.005,200
"20","UPK1A",167,2,"strict",0.005,200
"21","FAM78B",648,6,"strict",0.005,200
"22","FLNC",1927,32,"strict",0.005,200
"23","COL5A3",880,8,"strict",0.005,200
"24","ASB14",619,4,"strict",0.005,200
"25","COL2A1",5441,57,"strict",0.005,200
"26","BDKRB2",869,9,"strict",0.005,200
"27","ANKRD24",151,1,"strict",0.005,200
"28","CFHR5",909,7,"strict",0.005,200
"29","CHRNA4",205,1,"strict",0.005,200
"30","MYH1",2920,177,"strict",0.005,200
"31","JPH1",296,2,"strict",0.005,200
"32","TRPM1",3001,37,"strict",0.005,200
"33","ESRRB",191,1,"strict",0.005,200
"34","HTR6",1602,20,"strict",0.005,200
"35","MSLN",153,2,"strict",0.005,200
"36","CALCOCO2",2427,21,"strict",0.005,200
"37","TCN1",387,13,"strict",0.005,200
"38","BATF",207,1,"strict",0.005,200
"39","UMPS",133,1,"strict",0.005,200
"40","CRY1",942,7,"strict",0.005,200
"41","CYP2C19",1498,14,"strict",0.005,200
"42","KCNN2",125,1,"strict",0.005,200
"43","GATA4",786,8,"strict",0.005,200
"44","SFTA2",526,6,"strict",0.005,200
"45","STEAP1B",326,3,"strict",0.005,200
"46","HPX",8024,106,"strict",0.005,200
"47","GPR137C",522,4,"strict",0.005,200
"48","GFAP",23,1,"strict",0.005,200
"49","CCL13",197,2,"strict",0.005,200
"50","KRT34",106,2,"strict",0.005,200
"51","PYHIN1",3234,26,"strict",0.005,200
"52","HBG1",190,1,"strict",0.005,200
"53","C16orf89",185,1,"strict",0.005,200
"54","GLT1D1",120,1,"strict",0.005,200
"55","COL6A1",126,1,"strict",0.005,200
"56","CSF3",655,5,"strict",0.005,200
"57","NRK",174,2,"strict",0.005,200
"58","CELSR3",135,1,"strict",0.005,200
"59","PROCR",2294,29,"strict",0.005,200
"60","POU4F1",167,2,"strict",0.005,200
"61","FGA",1396,17,"strict",0.005,200
"62","DUSP9",134,1,"strict",0.005,200
"63","CRYAA2",62,1,"strict",0.005,200
"64","PTPRT",5992,73,"strict",0.005,200
"65","HSPB3",4059,36,"strict",0.005,200
"66","DNAH17",422,3,"strict",0.005,200
"67","KCNS1",436,4,"strict",0.005,200
"68","CXCL17",449,7,"strict",0.005,200
"69","APOA1",5982,154,"strict",0.005,200
"70","CSTB",188,2,"strict",0.005,200
"71","KCNJ10",303,2,"strict",0.005,200
"72","SYTL1",121,1,"strict",0.005,200
"73","CHST1",199,2,"strict",0.005,200
"74","MS4A15",1329,13,"strict",0.005,200
"75","DLK1",7004,76,"strict",0.005,200
"76","MMP1",3249,170,"strict",0.005,200
"77","TRIM54",1682,17,"strict",0.005,200
"78","MROH9",814,6,"strict",0.005,200
"79","MYH6",1143,11,"strict",0.005,200
"80","MKRN2OS",194,1,"strict",0.005,200
"81","CXCL6",204,2,"strict",0.005,200
"82","NLRC3",1136,8,"strict",0.005,200
"83","CYSLTR2",34,1,"strict",0.005,200
"84","MMP13",3241,46,"strict",0.005,200
"85","UGT1A4",320,2,"strict",0.005,200
"86","JAKMIP1",375,2,"strict",0.005,200
"87","EBF2",68,1,"strict",0.005,200
"88","SLC46A2",720,7,"strict",0.005,200
"89","NMNAT2",276,3,"strict",0.005,200
"90","PEBP4",1386,16,"strict",0.005,200
"91","HCAR1",89,1,"strict",0.005,200
"92","CD8B",73,1,"strict",0.005,200
"93","HSPB7",2268,19,"strict",0.005,200
"94","SLC6A19",42,1,"strict",0.005,200
