"","Gene","Count","Thresh.Name","Thresh.Value"
"1","STAT2",1,"narrow",0.002
"2","LGALS7",3,"narrow",0.002
"3","TMCC3",1,"narrow",0.002
"4","ZNF623",1,"narrow",0.002
"5","XYLT1",3,"narrow",0.002
"6","GLDC",1,"narrow",0.002
"7","TMSB10",1,"narrow",0.002
"8","SLC7A7",2,"narrow",0.002
"9","EGFL6",3,"narrow",0.002
"10","CASP7",5,"narrow",0.002
"11","KRT5",4,"narrow",0.002
"12","FCRL6",7,"narrow",0.002
"13","SLC12A3",1,"narrow",0.002
"14","LILRB1",5,"narrow",0.002
"15","LRFN5",2,"narrow",0.002
"16","DAPP1",13,"narrow",0.002
"17","ARIH1",1,"narrow",0.002
"18","BMPER",1,"narrow",0.002
"19","XCR1",3,"narrow",0.002
"20","HYDIN",1,"narrow",0.002
"21","ZNF681",3,"narrow",0.002
"22","MYT1L",39,"narrow",0.002
"23","RNF133",11,"narrow",0.002
"24","RCSD1",1,"narrow",0.002
"25","MYO1F",9,"narrow",0.002
"26","CP",2,"narrow",0.002
"27","MYH9",6,"narrow",0.002
"28","NLRP2",2,"narrow",0.002
"29","URB2",5,"narrow",0.002
"30","DHRS2",1,"narrow",0.002
"31","LYPD1",11,"narrow",0.002
"32","PGGHG",1,"narrow",0.002
"33","NEGR1",1,"narrow",0.002
"34","IKZF3",10,"narrow",0.002
"35","ITK",7,"narrow",0.002
"36","IRF1",30,"narrow",0.002
"37","TGM2",3,"narrow",0.002
"38","FAM107B",1,"narrow",0.002
"39","PIK3CG",2,"narrow",0.002
"40","ACAP1",6,"narrow",0.002
"41","APOBR",5,"narrow",0.002
"42","ISLR2",2,"narrow",0.002
"43","HSH2D",9,"narrow",0.002
"44","EBLN2",1,"narrow",0.002
"45","IL10RA",6,"narrow",0.002
"46","GAGE12J",37,"narrow",0.002
"47","RNF144B",7,"narrow",0.002
"48","HIVEP3",1,"narrow",0.002
"49","CD8A",30,"narrow",0.002
"50","SIRPG",1,"narrow",0.002
"51","OBSCN",2,"narrow",0.002
"52","DCT",1,"narrow",0.002
"53","OR52K1",6,"narrow",0.002
"54","ALDH1A2",20,"narrow",0.002
"55","MYO7A",2,"narrow",0.002
"56","TLR3",40,"narrow",0.002
"57","SELPLG",5,"narrow",0.002
"58","HK1",2,"narrow",0.002
"59","GAGE13",3,"narrow",0.002
"60","NUP133",13,"narrow",0.002
"61","GPR63",2,"narrow",0.002
"62","PRND",4,"narrow",0.002
"63","CGNL1",1,"narrow",0.002
"64","USP21",2,"narrow",0.002
"65","OR8G1",9,"narrow",0.002
"66","CTNND2",7,"narrow",0.002
"67","MYO1D",1,"narrow",0.002
"68","RPRD2",1,"narrow",0.002
"69","NABP1",3,"narrow",0.002
"70","CD14",3,"narrow",0.002
"71","PYGB",6,"narrow",0.002
"72","CD274",57,"narrow",0.002
"73","ACTN2",5,"narrow",0.002
"74","CCDC141",7,"narrow",0.002
"75","COL22A1",3,"narrow",0.002
"76","APOBEC3D",3,"narrow",0.002
"77","SUCNR1",1,"narrow",0.002
"78","TRPV2",8,"narrow",0.002
"79","PPP3CC",1,"narrow",0.002
"80","SLAMF6",2,"narrow",0.002
"81","DNASE1",36,"narrow",0.002
"82","DUOX1",16,"narrow",0.002
"83","KCNJ12",2,"narrow",0.002
"84","FAAH2",1,"narrow",0.002
"85","SPRY2",1,"narrow",0.002
"86","C1QTNF3",94,"narrow",0.002
"87","UGT2B7",2,"narrow",0.002
"88","STX3",1,"narrow",0.002
