"","Gene","Count","Thresh.Name","Thresh.Value"
"1","WDR64",1,"narrow",0.002
"2","GSTO2",1,"narrow",0.002
"3","MYZAP",3,"narrow",0.002
"4","RDH8",6,"narrow",0.002
"5","MS4A8",5,"narrow",0.002
"6","LRRTM4",12,"narrow",0.002
"7","GRHL1",23,"narrow",0.002
"8","PIK3C2G",22,"narrow",0.002
"9","DUOX1",4,"narrow",0.002
"10","UGT2B7",1,"narrow",0.002
"11","ATXN3L",2,"narrow",0.002
"12","MUCL1",1,"narrow",0.002
"13","CHMP4C",5,"narrow",0.002
"14","GATA4",14,"narrow",0.002
"15","ZNF334",1,"narrow",0.002
"16","OR8A1",1,"narrow",0.002
"17","CFHR4",1,"narrow",0.002
"18","ADCY10",1,"narrow",0.002
"19","LTF",7,"narrow",0.002
"20","PERP",1,"narrow",0.002
"21","PSG4",7,"narrow",0.002
"22","LHCGR",2,"narrow",0.002
"23","HMGA2",1,"narrow",0.002
"24","FAM83F",1,"narrow",0.002
"25","MOG",1,"narrow",0.002
"26","SLC24A4",136,"narrow",0.002
"27","S100A8",15,"narrow",0.002
"28","CISD1",1,"narrow",0.002
"29","LYPD6",1,"narrow",0.002
"30","TEX15",6,"narrow",0.002
"31","NKD1",3,"narrow",0.002
"32","MPP7",18,"narrow",0.002
"33","SALL1",1,"narrow",0.002
"34","DMP1",1,"narrow",0.002
"35","CFAP161",1,"narrow",0.002
"36","HAPLN1",1,"narrow",0.002
"37","EYA1",2,"narrow",0.002
"38","LRRC36",1,"narrow",0.002
"39","OR11H12",1,"narrow",0.002
"40","SSX2B",8,"narrow",0.002
"41","SALL4",6,"narrow",0.002
"42","TDRD12",2,"narrow",0.002
"43","TNS4",1,"narrow",0.002
"44","CNFN",1,"narrow",0.002
"45","MAGEA3",1,"narrow",0.002
"46","POTEE",1,"narrow",0.002
"47","CYP26A1",12,"narrow",0.002
"48","RAB27B",1,"narrow",0.002
"49","CTAG2",1,"narrow",0.002
"50","CTCFL",1,"narrow",0.002
"51","KCNU1",153,"narrow",0.002
"52","APCDD1",43,"narrow",0.002
"53","GRIK3",3,"narrow",0.002
"54","SCIN",21,"narrow",0.002
"55","PSG3",2,"narrow",0.002
"56","CST6",18,"narrow",0.002
"57","DNASE2B",5,"narrow",0.002
"58","CRB1",6,"narrow",0.002
"59","NINL",1,"narrow",0.002
"60","TF",4,"narrow",0.002
"61","TNFRSF11B",3,"narrow",0.002
"62","ARHGDIG",1,"narrow",0.002
"63","IP6K3",4,"narrow",0.002
"64","KCNIP1",1,"narrow",0.002
"65","KCTD14",2,"narrow",0.002
"66","GLTP",4,"narrow",0.002
"67","GABRA3",1,"narrow",0.002
"68","CTAG1A",40,"narrow",0.002
"69","PRKG2",1,"narrow",0.002
"70","HTR2C",22,"narrow",0.002
"71","SPATA31A7",1,"narrow",0.002
"72","MRGPRX3",5,"narrow",0.002
"73","CEACAM6",10,"narrow",0.002
"74","MAGEA6",5,"narrow",0.002
"75","AADACL2",7,"narrow",0.002
"76","HCN1",2,"narrow",0.002
"77","BCAN",3,"narrow",0.002
"78","CSAG1",5,"narrow",0.002
"79","LAD1",9,"narrow",0.002
"80","GRIN2B",6,"narrow",0.002
"81","SYNPR",1,"narrow",0.002
"82","KLF5",1,"narrow",0.002
"83","SCN8A",1,"narrow",0.002
"84","BIN1",1,"narrow",0.002
"85","ATP6V1C2",2,"narrow",0.002
"86","PSG7",23,"narrow",0.002
"87","MYL2",1,"narrow",0.002
"88","SLC10A6",11,"narrow",0.002
"89","SERPINA5",3,"narrow",0.002
"90","NEBL",15,"narrow",0.002
"91","TBC1D3C",1,"narrow",0.002
"92","HOXD13",1,"narrow",0.002
"93","GAN",2,"narrow",0.002
"94","DUOX2",5,"narrow",0.002
"95","SHPK",1,"narrow",0.002
"96","ILDR2",1,"narrow",0.002
"97","PAGE5",1,"narrow",0.002
"98","MAGED4",2,"narrow",0.002
"99","TMEM132D",2,"narrow",0.002
"100","PSG6",1,"narrow",0.002
"101","THEM5",9,"narrow",0.002
"102","PSG1",3,"narrow",0.002
"103","KRT15",3,"narrow",0.002
"104","KRT23",13,"narrow",0.002
"105","TCF7L1",4,"narrow",0.002
"106","TACSTD2",1,"narrow",0.002
"107","RALYL",1,"narrow",0.002
"108","MS4A15",3,"narrow",0.002
"109","LAMC2",6,"narrow",0.002
"110","HOXB13",1,"narrow",0.002
"111","MORC1",1,"narrow",0.002
"112","POTEF",2,"narrow",0.002
"113","CSAG3",8,"narrow",0.002
"114","HORMAD1",1,"narrow",0.002
"115","EHF",2,"narrow",0.002
"116","ANKRD7",1,"narrow",0.002
"117","DLG5",1,"narrow",0.002
"118","TMEFF1",2,"narrow",0.002
"119","TRIM48",3,"narrow",0.002
"120","HHATL",2,"narrow",0.002
"121","TMEM45B",11,"narrow",0.002
"122","MAGEC2",1,"narrow",0.002
"123","DAZ3",4,"narrow",0.002
"124","ASB13",3,"narrow",0.002
"125","ELOVL7",1,"narrow",0.002
"126","MAGEA2",2,"narrow",0.002
"127","SYTL5",5,"narrow",0.002
"128","ELOVL4",4,"narrow",0.002
"129","TBC1D3",13,"narrow",0.002
"130","MAGEA4",2,"narrow",0.002
"131","MAGEA1",7,"narrow",0.002
"132","PAGE2",1,"narrow",0.002
"133","MEGF10",22,"narrow",0.002
"134","CSAG2",22,"narrow",0.002
"135","HIGD1A",26,"narrow",0.002
"136","OLFM3",2,"narrow",0.002
"137","ADIPOQ",2,"narrow",0.002
"138","ABHD6",1,"narrow",0.002
"139","POTEM",1,"narrow",0.002
"140","PLPPR4",83,"narrow",0.002
"141","TBC1D1",1,"narrow",0.002
"142","TSPY4",5,"narrow",0.002
"143","SPTSSB",1,"narrow",0.002
"144","LARGE2",4,"narrow",0.002
"145","TDRD9",4,"narrow",0.002
"146","SERPINB9",2,"narrow",0.002
"147","KCNH5",20,"narrow",0.002
"148","MAGEB2",2,"narrow",0.002
"149","SLC34A2",4,"narrow",0.002
"150","MYH7",2,"narrow",0.002
"151","ZC3H11B",48,"narrow",0.002
"152","SLCO1A2",2,"narrow",0.002
"153","SCNN1A",1,"narrow",0.002
"154","ARL6IP1",1,"narrow",0.002
"155","SLC15A1",67,"narrow",0.002
"156","IRF6",2,"narrow",0.002
"157","MAGEC1",21,"narrow",0.002
"158","WNK4",1,"narrow",0.002
"159","HS3ST2",1,"narrow",0.002
"160","ADGRG2",5,"narrow",0.002
"161","MAG",2,"narrow",0.002
"162","ATP13A4",25,"narrow",0.002
"163","MYOC",27,"narrow",0.002
"164","SLCO6A1",4,"narrow",0.002
"165","KLC3",1,"narrow",0.002
"166","SPTA1",14,"narrow",0.002
"167","GABRG2",9,"narrow",0.002
"168","MAGEA11",1,"narrow",0.002
"169","SLC16A6",9,"narrow",0.002
"170","NPAS3",60,"narrow",0.002
"171","PSG11",16,"narrow",0.002
"172","WDR64",2,"very.tight",0.005
"173","ITGB4",1,"very.tight",0.005
"174","GSTO2",5,"very.tight",0.005
"175","DHRS2",1,"very.tight",0.005
"176","MYZAP",3,"very.tight",0.005
"177","CCDC169",1,"very.tight",0.005
"178","RDH8",13,"very.tight",0.005
"179","GSDMA",2,"very.tight",0.005
"180","MS4A8",5,"very.tight",0.005
"181","LRRTM4",21,"very.tight",0.005
"182","BTBD11",2,"very.tight",0.005
"183","GRHL1",42,"very.tight",0.005
"184","PIK3C2G",40,"very.tight",0.005
"185","DUOX1",4,"very.tight",0.005
"186","UGT2B7",3,"very.tight",0.005
"187","ATXN3L",2,"very.tight",0.005
"188","MUCL1",1,"very.tight",0.005
"189","CHMP4C",8,"very.tight",0.005
"190","GATA4",21,"very.tight",0.005
"191","ZNF334",2,"very.tight",0.005
"192","OR8A1",1,"very.tight",0.005
"193","CFHR4",1,"very.tight",0.005
"194","CFHR1",1,"very.tight",0.005
"195","PPL",2,"very.tight",0.005
"196","ADCY10",7,"very.tight",0.005
"197","LTF",19,"very.tight",0.005
"198","PERP",5,"very.tight",0.005
"199","SLAMF1",1,"very.tight",0.005
"200","IL13RA2",1,"very.tight",0.005
"201","PSG4",14,"very.tight",0.005
"202","LHCGR",4,"very.tight",0.005
"203","PPIAL4H",1,"very.tight",0.005
"204","KRT17",2,"very.tight",0.005
"205","MASP1",3,"very.tight",0.005
"206","HMGA2",1,"very.tight",0.005
"207","SLC5A1",1,"very.tight",0.005
"208","FAM83F",1,"very.tight",0.005
"209","MOG",2,"very.tight",0.005
"210","SLC24A4",136,"very.tight",0.005
"211","SLC28A3",1,"very.tight",0.005
"212","CAPN14",1,"very.tight",0.005
"213","S100A8",23,"very.tight",0.005
"214","CISD1",2,"very.tight",0.005
"215","LYPD6",3,"very.tight",0.005
"216","TEX15",7,"very.tight",0.005
"217","NKD1",4,"very.tight",0.005
"218","MPP7",22,"very.tight",0.005
"219","SALL1",1,"very.tight",0.005
"220","DMP1",3,"very.tight",0.005
"221","CFAP161",2,"very.tight",0.005
"222","BAAT",2,"very.tight",0.005
"223","HAPLN1",3,"very.tight",0.005
"224","EYA1",8,"very.tight",0.005
"225","LRRC36",3,"very.tight",0.005
"226","LMO1",2,"very.tight",0.005
"227","OR11H12",1,"very.tight",0.005
"228","SSX2B",8,"very.tight",0.005
"229","SALL4",11,"very.tight",0.005
"230","TDRD12",3,"very.tight",0.005
"231","EPN3",1,"very.tight",0.005
"232","TNS4",1,"very.tight",0.005
"233","NIPAL1",1,"very.tight",0.005
"234","CNFN",1,"very.tight",0.005
"235","MAGEA3",2,"very.tight",0.005
"236","POTEE",3,"very.tight",0.005
"237","APBA2",1,"very.tight",0.005
"238","TTYH1",3,"very.tight",0.005
"239","CYP26A1",17,"very.tight",0.005
"240","CAMK4",3,"very.tight",0.005
"241","CAMSAP3",1,"very.tight",0.005
"242","PAEP",1,"very.tight",0.005
"243","RAB27B",2,"very.tight",0.005
"244","RASGEF1C",2,"very.tight",0.005
"245","CTAG2",5,"very.tight",0.005
"246","CTCFL",6,"very.tight",0.005
"247","KCNU1",167,"very.tight",0.005
"248","APCDD1",46,"very.tight",0.005
"249","GRIK3",6,"very.tight",0.005
"250","ATP1B2",2,"very.tight",0.005
"251","SCIN",50,"very.tight",0.005
"252","PSG3",3,"very.tight",0.005
"253","CST6",39,"very.tight",0.005
"254","XPNPEP1",1,"very.tight",0.005
"255","DNASE2B",5,"very.tight",0.005
"256","CRB1",23,"very.tight",0.005
"257","NINL",3,"very.tight",0.005
"258","TF",8,"very.tight",0.005
"259","C5orf63",1,"very.tight",0.005
"260","SLC27A3",1,"very.tight",0.005
"261","TNFRSF11B",4,"very.tight",0.005
"262","ARHGDIG",3,"very.tight",0.005
"263","IP6K3",6,"very.tight",0.005
"264","IGF2BP1",1,"very.tight",0.005
"265","KCNIP1",3,"very.tight",0.005
"266","KCTD14",2,"very.tight",0.005
"267","MAGEA12",4,"very.tight",0.005
"268","GLTP",9,"very.tight",0.005
"269","COL11A2",1,"very.tight",0.005
"270","GABRA3",4,"very.tight",0.005
"271","PNMA2",1,"very.tight",0.005
"272","COL4A6",1,"very.tight",0.005
"273","CTAG1A",41,"very.tight",0.005
"274","PRKG2",1,"very.tight",0.005
"275","HTR2C",22,"very.tight",0.005
"276","SPATA31A7",1,"very.tight",0.005
"277","EML6",3,"very.tight",0.005
"278","MRGPRX3",7,"very.tight",0.005
"279","CEACAM6",10,"very.tight",0.005
"280","SFXN1",1,"very.tight",0.005
"281","MAGEA6",6,"very.tight",0.005
"282","AADACL2",29,"very.tight",0.005
"283","HCN1",5,"very.tight",0.005
"284","BCAN",4,"very.tight",0.005
"285","COL21A1",1,"very.tight",0.005
"286","LCE2A",1,"very.tight",0.005
"287","NMU",1,"very.tight",0.005
"288","CSAG1",5,"very.tight",0.005
"289","LAD1",14,"very.tight",0.005
"290","GRIN2B",11,"very.tight",0.005
"291","SLC7A11",3,"very.tight",0.005
"292","ZNF560",2,"very.tight",0.005
"293","SYNPR",1,"very.tight",0.005
"294","KLF5",4,"very.tight",0.005
"295","SCN8A",4,"very.tight",0.005
"296","SLC18A1",1,"very.tight",0.005
"297","BIN1",1,"very.tight",0.005
"298","ATP6V1C2",3,"very.tight",0.005
"299","ABHD17C",3,"very.tight",0.005
"300","PSG7",28,"very.tight",0.005
"301","MYL2",1,"very.tight",0.005
"302","SLC10A6",29,"very.tight",0.005
"303","SERPINA5",7,"very.tight",0.005
"304","COL20A1",2,"very.tight",0.005
"305","ANO5",2,"very.tight",0.005
"306","NEBL",16,"very.tight",0.005
"307","MGP",1,"very.tight",0.005
"308","TBC1D3C",1,"very.tight",0.005
"309","HOXD13",1,"very.tight",0.005
"310","GAN",3,"very.tight",0.005
"311","DUOX2",7,"very.tight",0.005
"312","SHPK",1,"very.tight",0.005
"313","ILDR2",3,"very.tight",0.005
"314","PAGE5",3,"very.tight",0.005
"315","MAGED4",2,"very.tight",0.005
"316","TMEM132D",7,"very.tight",0.005
"317","PSG6",2,"very.tight",0.005
"318","CCDC169-SOHLH2",1,"very.tight",0.005
"319","THEM5",11,"very.tight",0.005
"320","TBX22",1,"very.tight",0.005
"321","PSG1",5,"very.tight",0.005
"322","KRT15",6,"very.tight",0.005
"323","IGFBP2",1,"very.tight",0.005
"324","TATDN2",3,"very.tight",0.005
"325","KRT23",25,"very.tight",0.005
"326","TCF7L1",6,"very.tight",0.005
"327","TACSTD2",2,"very.tight",0.005
"328","RALYL",1,"very.tight",0.005
"329","POTEG",2,"very.tight",0.005
"330","MS4A15",3,"very.tight",0.005
"331","LAMC2",8,"very.tight",0.005
"332","HOXB13",1,"very.tight",0.005
"333","ATP2B2",1,"very.tight",0.005
"334","MORC1",1,"very.tight",0.005
"335","POTEF",10,"very.tight",0.005
"336","CSAG3",9,"very.tight",0.005
"337","HORMAD1",2,"very.tight",0.005
"338","EHF",6,"very.tight",0.005
"339","TNNT2",1,"very.tight",0.005
"340","ANKRD7",3,"very.tight",0.005
"341","HBB",1,"very.tight",0.005
"342","DLG5",1,"very.tight",0.005
"343","TMEFF1",4,"very.tight",0.005
"344","PCDHB3",1,"very.tight",0.005
"345","TRIM48",5,"very.tight",0.005
"346","ERO1B",1,"very.tight",0.005
"347","ERVV-1",2,"very.tight",0.005
"348","CNR1",2,"very.tight",0.005
"349","HHATL",2,"very.tight",0.005
"350","TMEM45B",15,"very.tight",0.005
"351","MAGEC2",2,"very.tight",0.005
"352","KLRC2",1,"very.tight",0.005
"353","LGI4",1,"very.tight",0.005
"354","DAZ3",5,"very.tight",0.005
"355","ASB13",10,"very.tight",0.005
"356","DAGLA",2,"very.tight",0.005
"357","ELOVL7",1,"very.tight",0.005
"358","MAGEA2",2,"very.tight",0.005
"359","SYTL5",5,"very.tight",0.005
"360","ELOVL4",14,"very.tight",0.005
"361","TBC1D3",13,"very.tight",0.005
"362","MAGEA4",10,"very.tight",0.005
"363","MAGEA1",13,"very.tight",0.005
"364","COL9A1",1,"very.tight",0.005
"365","PAGE2",1,"very.tight",0.005
"366","PITPNM3",1,"very.tight",0.005
"367","MEGF10",43,"very.tight",0.005
"368","CSAG2",33,"very.tight",0.005
"369","HIGD1A",37,"very.tight",0.005
"370","OLFM3",2,"very.tight",0.005
"371","NPIPB15",2,"very.tight",0.005
"372","ADIPOQ",2,"very.tight",0.005
"373","ABHD6",1,"very.tight",0.005
"374","POTEM",2,"very.tight",0.005
"375","PLPPR4",87,"very.tight",0.005
"376","FAM177B",2,"very.tight",0.005
"377","TBC1D1",1,"very.tight",0.005
"378","TSPY4",5,"very.tight",0.005
"379","SPTSSB",4,"very.tight",0.005
"380","LARGE2",8,"very.tight",0.005
"381","PSG5",5,"very.tight",0.005
"382","TDRD9",6,"very.tight",0.005
"383","SERPINB9",4,"very.tight",0.005
"384","KCNH5",20,"very.tight",0.005
"385","MAGEB2",2,"very.tight",0.005
"386","SLC34A2",4,"very.tight",0.005
"387","MYH7",2,"very.tight",0.005
"388","ZC3H11B",87,"very.tight",0.005
"389","SLCO1A2",7,"very.tight",0.005
"390","SCNN1A",1,"very.tight",0.005
"391","ARL6IP1",1,"very.tight",0.005
"392","ANKRD30B",1,"very.tight",0.005
"393","SLC15A1",87,"very.tight",0.005
"394","IRF6",8,"very.tight",0.005
"395","PNMA8A",1,"very.tight",0.005
"396","MMP12",1,"very.tight",0.005
"397","MAGEC1",25,"very.tight",0.005
"398","WNK4",1,"very.tight",0.005
"399","HS3ST2",1,"very.tight",0.005
"400","ADGRG2",5,"very.tight",0.005
"401","MAG",9,"very.tight",0.005
"402","ATP13A4",38,"very.tight",0.005
"403","JUP",1,"very.tight",0.005
"404","MYOC",27,"very.tight",0.005
"405","SLCO6A1",4,"very.tight",0.005
"406","KLC3",2,"very.tight",0.005
"407","SPTA1",33,"very.tight",0.005
"408","GABRG2",9,"very.tight",0.005
"409","KRT6B",1,"very.tight",0.005
"410","MAGEA11",2,"very.tight",0.005
"411","SLC16A6",12,"very.tight",0.005
"412","NPAS3",91,"very.tight",0.005
"413","PSG11",21,"very.tight",0.005
"414","WDR64",10,"tight",0.01
"415","ITGB4",1,"tight",0.01
"416","GSTO2",11,"tight",0.01
"417","DHRS2",2,"tight",0.01
"418","MYZAP",3,"tight",0.01
"419","CCDC169",2,"tight",0.01
"420","RDH8",20,"tight",0.01
"421","AGT",2,"tight",0.01
"422","GSDMA",3,"tight",0.01
"423","MS4A8",5,"tight",0.01
