"","Gene","Count","Thresh.Name","Thresh.Value"
"1","BMP7",1,"narrow",0.002
"2","CYP2E1",3,"narrow",0.002
"3","LTBP3",4,"narrow",0.002
"4","CES1",1,"narrow",0.002
"5","REG1A",1,"narrow",0.002
"6","RPS4Y1",7,"narrow",0.002
"7","SULT1B1",6,"narrow",0.002
"8","CCL8",1,"narrow",0.002
"9","RGPD1",1,"narrow",0.002
"10","FOXP2",3,"narrow",0.002
"11","PRR36",2,"narrow",0.002
"12","NR2E1",13,"narrow",0.002
"13","AMBP",2,"narrow",0.002
"14","CFTR",2,"narrow",0.002
"15","APOA2",2,"narrow",0.002
"16","STEAP3",2,"narrow",0.002
"17","AGR2",1,"narrow",0.002
"18","NPIPA8",1,"narrow",0.002
"19","ALDOB",2,"narrow",0.002
"20","SVOPL",4,"narrow",0.002
"21","UGT1A10",9,"narrow",0.002
"22","S100A8",1,"narrow",0.002
"23","HPX",20,"narrow",0.002
"24","ZFY",2,"narrow",0.002
"25","ANKRD20A1",1,"narrow",0.002
"26","TUBB4A",1,"narrow",0.002
"27","NPIPB2",17,"narrow",0.002
"28","GATD3B",3,"narrow",0.002
"29","PLEKHH2",6,"narrow",0.002
"30","PLG",2,"narrow",0.002
"31","ARHGAP40",2,"narrow",0.002
"32","POTEE",2,"narrow",0.002
"33","LRRC56",2,"narrow",0.002
"34","REG3G",1,"narrow",0.002
"35","OR4F3",26,"narrow",0.002
"36","DNAH5",7,"narrow",0.002
"37","TRIM6-TRIM34",7,"narrow",0.002
"38","H1-2",4,"narrow",0.002
"39","CXCR2",2,"narrow",0.002
"40","TF",1,"narrow",0.002
"41","FGB",5,"narrow",0.002
"42","CILP",3,"narrow",0.002
"43","CRP",1,"narrow",0.002
"44","CHAT",20,"narrow",0.002
"45","POF1B",2,"narrow",0.002
"46","ADH4",2,"narrow",0.002
"47","CTAGE6",6,"narrow",0.002
"48","MYH8",27,"narrow",0.002
"49","CCN4",1,"narrow",0.002
"50","KNG1",6,"narrow",0.002
"51","ANXA8L1",22,"narrow",0.002
"52","EEF1A2",1,"narrow",0.002
"53","UGT2B15",1,"narrow",0.002
"54","SERPINC1",3,"narrow",0.002
"55","AHSG",2,"narrow",0.002
"56","UGT8",3,"narrow",0.002
"57","ORM1",3,"narrow",0.002
"58","RGPD6",1,"narrow",0.002
"59","PCDH10",1,"narrow",0.002
"60","NLGN4Y",1,"narrow",0.002
"61","KLB",1,"narrow",0.002
"62","APOC3",1,"narrow",0.002
"63","STMN2",1,"narrow",0.002
"64","SCNN1G",7,"narrow",0.002
"65","AKAP12",1,"narrow",0.002
"66","FGL1",1,"narrow",0.002
"67","CTXN3",2,"narrow",0.002
"68","IGFN1",3,"narrow",0.002
"69","FABP1",6,"narrow",0.002
"70","APOA1",2,"narrow",0.002
"71","FGG",9,"narrow",0.002
"72","PRR5-ARHGAP8",19,"narrow",0.002
"73","CPN1",4,"narrow",0.002
"74","APCS",1,"narrow",0.002
"75","CMPK2",1,"narrow",0.002
"76","HBA1",2,"narrow",0.002
"77","RSC1A1",11,"narrow",0.002
"78","FAM83A",12,"narrow",0.002
"79","H2AC15",3,"narrow",0.002
"80","ALB",4,"narrow",0.002
"81","S100P",1,"narrow",0.002
"82","RTL1",13,"narrow",0.002
"83","NPIPB13",7,"narrow",0.002
"84","EPHA7",1,"narrow",0.002
"85","HRG",1,"narrow",0.002
"86","EIF1AY",3,"narrow",0.002
"87","CES5A",1,"narrow",0.002
"88","HBB",1,"narrow",0.002
"89","ANXA8",5,"narrow",0.002
"90","OASL",3,"narrow",0.002
"91","SLC30A10",12,"narrow",0.002
"92","USP9Y",2,"narrow",0.002
"93","H2BC5",1,"narrow",0.002
"94","ADPRHL1",21,"narrow",0.002
"95","MIF",2,"narrow",0.002
"96","ITIH2",1,"narrow",0.002
"97","APOL1",2,"narrow",0.002
"98","RSAD2",3,"narrow",0.002
"99","PLIN1",1,"narrow",0.002
"100","H2AC18",10,"narrow",0.002
"101","ARL14",1,"narrow",0.002
"102","NTSR1",1,"narrow",0.002
"103","TAS2R30",6,"narrow",0.002
"104","SLC22A12",1,"narrow",0.002
"105","MYEF2",3,"narrow",0.002
"106","DDX3Y",3,"narrow",0.002
"107","UTP14C",5,"narrow",0.002
"108","ABCA3",1,"narrow",0.002
"109","IGKV2D-28",3,"narrow",0.002
"110","FGA",8,"narrow",0.002
"111","SLC22A6",5,"narrow",0.002
"112","KNDC1",2,"narrow",0.002
"113","H4C5",1,"narrow",0.002
"114","HBA2",4,"narrow",0.002
"115","ADH1A",2,"narrow",0.002
"116","H2BC18",2,"narrow",0.002
"117","IL1R2",4,"narrow",0.002
"118","BIVM-ERCC5",10,"narrow",0.002
"119","UGT2B4",3,"narrow",0.002
"120","EPHA6",1,"narrow",0.002
"121","ZNF620",6,"narrow",0.002
"122","UPK1B",4,"narrow",0.002
"123","ORM2",1,"narrow",0.002
"124","SLC18A3",113,"narrow",0.002
"125","H3C14",36,"narrow",0.002
"126","CACNA1D",1,"narrow",0.002
"127","CYP3A4",16,"narrow",0.002
"128","IVL",11,"narrow",0.002
"129","GIMAP1-GIMAP5",33,"narrow",0.002
"130","IFI6",2,"narrow",0.002
"131","OAS2",1,"narrow",0.002
"132","VSTM2L",10,"narrow",0.002
"133","SLC5A8",3,"narrow",0.002
"134","H1-3",4,"narrow",0.002
"135","NR0B2",4,"narrow",0.002
"136","AVPR1B",2,"narrow",0.002
"137","H3C4",5,"narrow",0.002
"138","ADGRG2",8,"narrow",0.002
"139","OR4F21",56,"narrow",0.002
"140","HMGCS2",1,"narrow",0.002
"141","KLK11",19,"narrow",0.002
"142","TKTL1",6,"narrow",0.002
"143","SYT14",23,"narrow",0.002
"144","PHOSPHO1",2,"narrow",0.002
"145","INHBC",1,"narrow",0.002
"146","COMMD3-BMI1",9,"narrow",0.002
"147","UTY",4,"narrow",0.002
"148","GRIA4",1,"narrow",0.002
"149","BMP7",1,"very.tight",0.005
"150","CYP2E1",5,"very.tight",0.005
"151","H2BC7",4,"very.tight",0.005
"152","LTBP3",4,"very.tight",0.005
"153","ABCA2",1,"very.tight",0.005
"154","CES1",1,"very.tight",0.005
"155","REG1A",2,"very.tight",0.005
"156","RPS4Y1",7,"very.tight",0.005
"157","SULT1B1",13,"very.tight",0.005
"158","CCL8",2,"very.tight",0.005
"159","REN",3,"very.tight",0.005
"160","RGPD1",1,"very.tight",0.005
"161","FOXP2",6,"very.tight",0.005
"162","PRR36",3,"very.tight",0.005
"163","NR2E1",14,"very.tight",0.005
"164","AMBP",4,"very.tight",0.005
"165","CFTR",2,"very.tight",0.005
"166","C8G",1,"very.tight",0.005
"167","APOA2",2,"very.tight",0.005
"168","SLX1B",2,"very.tight",0.005
"169","IFIT2",1,"very.tight",0.005
"170","STEAP3",2,"very.tight",0.005
"171","AGR2",1,"very.tight",0.005
"172","NPIPA8",1,"very.tight",0.005
"173","ALDOB",2,"very.tight",0.005
"174","SVOPL",4,"very.tight",0.005
"175","TBC1D3L",1,"very.tight",0.005
"176","UGT1A10",9,"very.tight",0.005
"177","TGIF2-RAB5IF",1,"very.tight",0.005
"178","S100A8",1,"very.tight",0.005
"179","CCDC148",1,"very.tight",0.005
"180","HPX",21,"very.tight",0.005
"181","ZFY",3,"very.tight",0.005
"182","ANKRD20A1",1,"very.tight",0.005
"183","TUBB4A",4,"very.tight",0.005
"184","NPIPB2",23,"very.tight",0.005
"185","SOX9",1,"very.tight",0.005
"186","GATD3B",3,"very.tight",0.005
"187","PLEKHH2",6,"very.tight",0.005
"188","PLG",2,"very.tight",0.005
"189","ARHGAP40",2,"very.tight",0.005
"190","POTEE",2,"very.tight",0.005
"191","LRRC56",8,"very.tight",0.005
"192","REG3G",1,"very.tight",0.005
"193","OR4F3",31,"very.tight",0.005
"194","DNAH5",16,"very.tight",0.005
"195","TRIM6-TRIM34",9,"very.tight",0.005
"196","H1-2",4,"very.tight",0.005
"197","IGFBP1",2,"very.tight",0.005
"198","CXCR2",3,"very.tight",0.005
"199","GALNT14",1,"very.tight",0.005
"200","TF",1,"very.tight",0.005
"201","C4A",1,"very.tight",0.005
"202","FGB",8,"very.tight",0.005
"203","CILP",5,"very.tight",0.005
"204","CRP",1,"very.tight",0.005
"205","CHAT",20,"very.tight",0.005
"206","POF1B",2,"very.tight",0.005
"207","ADH4",2,"very.tight",0.005
"208","CTAGE6",7,"very.tight",0.005
"209","MYH8",27,"very.tight",0.005
"210","CCN4",4,"very.tight",0.005
"211","KCTD16",1,"very.tight",0.005
"212","KNG1",12,"very.tight",0.005
"213","LRP2",1,"very.tight",0.005
"214","ANXA8L1",22,"very.tight",0.005
"215","EEF1A2",5,"very.tight",0.005
"216","UGT2B15",3,"very.tight",0.005
"217","SERPINC1",4,"very.tight",0.005
"218","FCN3",1,"very.tight",0.005
"219","AHSG",4,"very.tight",0.005
"220","UGT8",3,"very.tight",0.005
"221","NIPAL4",1,"very.tight",0.005
"222","ORM1",4,"very.tight",0.005
"223","RGPD6",3,"very.tight",0.005
"224","PCDH10",3,"very.tight",0.005
"225","NLGN4Y",4,"very.tight",0.005
"226","KLB",1,"very.tight",0.005
"227","NEFM",1,"very.tight",0.005
"228","APOC3",2,"very.tight",0.005
"229","PRODH",1,"very.tight",0.005
"230","STMN2",2,"very.tight",0.005
"231","GULP1",3,"very.tight",0.005
"232","PAX2",3,"very.tight",0.005
"233","SCNN1G",7,"very.tight",0.005
"234","AKAP12",3,"very.tight",0.005
"235","FGL1",3,"very.tight",0.005
"236","CCL20",1,"very.tight",0.005
"237","ASGR2",1,"very.tight",0.005
"238","CTXN3",2,"very.tight",0.005
"239","IGFN1",9,"very.tight",0.005
"240","FABP1",10,"very.tight",0.005
"241","APOA1",2,"very.tight",0.005
"242","F3",1,"very.tight",0.005
"243","FGG",13,"very.tight",0.005
"244","PRR5-ARHGAP8",20,"very.tight",0.005
"245","CPN1",6,"very.tight",0.005
"246","APCS",1,"very.tight",0.005
"247","CMPK2",2,"very.tight",0.005
