"","Gene","Count","Thresh.Name","Thresh.Value"
"1","HLA-G",2,"narrow",0.002
"2","ADGRF4",31,"narrow",0.002
"3","GJB3",3,"narrow",0.002
"4","TTC21A",1,"narrow",0.002
"5","ZNF623",5,"narrow",0.002
"6","TRIM67",1,"narrow",0.002
"7","XYLT1",73,"narrow",0.002
"8","AP4M1",3,"narrow",0.002
"9","FSTL4",4,"narrow",0.002
"10","VPS37C",33,"narrow",0.002
"11","KRT5",33,"narrow",0.002
"12","FCRL6",65,"narrow",0.002
"13","ADH5",1,"narrow",0.002
"14","MOB4",1,"narrow",0.002
"15","LILRB1",2,"narrow",0.002
"16","TAF7",1,"narrow",0.002
"17","LRFN5",1,"narrow",0.002
"18","IL17RE",7,"narrow",0.002
"19","CLCA4",6,"narrow",0.002
"20","WSB2",1,"narrow",0.002
"21","MYLK3",3,"narrow",0.002
"22","GPX3",1,"narrow",0.002
"23","NELL2",22,"narrow",0.002
"24","ZNF501",30,"narrow",0.002
"25","CALM3",2,"narrow",0.002
"26","FSIP2",2,"narrow",0.002
"27","SNRPB",1,"narrow",0.002
"28","MYT1L",4,"narrow",0.002
"29","HIGD1B",13,"narrow",0.002
"30","XYLB",1,"narrow",0.002
"31","LNP1",119,"narrow",0.002
"32","MYO1F",9,"narrow",0.002
"33","MGAM2",1,"narrow",0.002
"34","MED20",2,"narrow",0.002
"35","MYH9",18,"narrow",0.002
"36","NPC1L1",1,"narrow",0.002
"37","CRK",2,"narrow",0.002
"38","NUP85",20,"narrow",0.002
"39","NBPF1",3,"narrow",0.002
"40","SEC14L5",3,"narrow",0.002
"41","ZG16B",97,"narrow",0.002
"42","UBE2H",2,"narrow",0.002
"43","RGMB",10,"narrow",0.002
"44","AEBP1",17,"narrow",0.002
"45","C1QTNF7",1,"narrow",0.002
"46","PRDM15",12,"narrow",0.002
"47","CYB5B",1,"narrow",0.002
"48","PGGHG",2,"narrow",0.002
"49","TACR2",89,"narrow",0.002
"50","IKZF3",12,"narrow",0.002
"51","ITK",3,"narrow",0.002
"52","LRRC17",5,"narrow",0.002
"53","ZBED9",6,"narrow",0.002
"54","PIK3CG",1,"narrow",0.002
"55","LIN7A",11,"narrow",0.002
"56","CCDC68",4,"narrow",0.002
"57","ACAP1",95,"narrow",0.002
"58","HAS3",19,"narrow",0.002
"59","PSMD1",1,"narrow",0.002
"60","CTTN",2,"narrow",0.002
"61","CBR4",37,"narrow",0.002
"62","RBM25",53,"narrow",0.002
"63","ALDH16A1",7,"narrow",0.002
"64","DUS2",1,"narrow",0.002
"65","PCMTD1",3,"narrow",0.002
"66","GAGE12J",17,"narrow",0.002
"67","CD8A",8,"narrow",0.002
"68","DCAF15",3,"narrow",0.002
"69","ENDOU",1,"narrow",0.002
"70","SIRPG",1,"narrow",0.002
"71","ABHD17B",3,"narrow",0.002
"72","DHODH",15,"narrow",0.002
"73","GFAP",1,"narrow",0.002
"74","B9D1",2,"narrow",0.002
"75","ACSM2A",4,"narrow",0.002
"76","GLRA2",5,"narrow",0.002
"77","UNC93A",2,"narrow",0.002
"78","RDH8",1,"narrow",0.002
"79","C7",1,"narrow",0.002
"80","SLC9C2",2,"narrow",0.002
"81","MYO7A",13,"narrow",0.002
"82","SEPHS2",2,"narrow",0.002
"83","SLC35G1",14,"narrow",0.002
"84","MYBPC1",1,"narrow",0.002
"85","TATDN1",30,"narrow",0.002
"86","NDUFA11",2,"narrow",0.002
"87","HMGN4",1,"narrow",0.002
"88","MRO",1,"narrow",0.002
"89","CDK11A",30,"narrow",0.002
"90","PRR3",2,"narrow",0.002
"91","ELOF1",2,"narrow",0.002
"92","ASB11",15,"narrow",0.002
"93","TIGD7",4,"narrow",0.002
"94","NDRG2",4,"narrow",0.002
"95","PIEZO1",2,"narrow",0.002
"96","PGLYRP3",24,"narrow",0.002
"97","PGC",22,"narrow",0.002
"98","PIK3CD",123,"narrow",0.002
"99","BANP",32,"narrow",0.002
"100","PNMA1",5,"narrow",0.002
"101","TMEM119",1,"narrow",0.002
"102","UBE2K",2,"narrow",0.002
"103","EIF5B",2,"narrow",0.002
"104","GSDMA",1,"narrow",0.002
"105","MS4A8",1,"narrow",0.002
"106","CEP170B",71,"narrow",0.002
"107","ZNF667",1,"narrow",0.002
"108","ACTN2",1,"narrow",0.002
"109","ELFN2",105,"narrow",0.002
"110","LRAT",11,"narrow",0.002
"111","ZNF607",2,"narrow",0.002
"112","ANKRD23",8,"narrow",0.002
"113","TCEAL8",3,"narrow",0.002
"114","PNKP",9,"narrow",0.002
"115","LRRTM4",3,"narrow",0.002
"116","ACP7",2,"narrow",0.002
"117","HEMGN",15,"narrow",0.002
"118","ANXA9",1,"narrow",0.002
"119","SYS1",2,"narrow",0.002
"120","PAX6",9,"narrow",0.002
"121","SAT2",21,"narrow",0.002
"122","CACUL1",2,"narrow",0.002
"123","CBR1",1,"narrow",0.002
"124","PSMB6",5,"narrow",0.002
"125","EDA2R",8,"narrow",0.002
"126","CKM",4,"narrow",0.002
"127","ATP6V0E1",3,"narrow",0.002
"128","PAIP2",8,"narrow",0.002
"129","HSPA6",4,"narrow",0.002
"130","KCNJ12",27,"narrow",0.002
"131","BTC",2,"narrow",0.002
"132","LY6D",5,"narrow",0.002
"133","SCAMP1",7,"narrow",0.002
"134","CCNI",13,"narrow",0.002
"135","ANKRD1",3,"narrow",0.002
"136","C1QTNF3",21,"narrow",0.002
"137","C8orf37",3,"narrow",0.002
"138","NSMCE1",4,"narrow",0.002
"139","TRAF3IP1",1,"narrow",0.002
"140","SHANK2",64,"narrow",0.002
"141","SLC66A1L",2,"narrow",0.002
"142","HBE1",6,"narrow",0.002
"143","RGS1",27,"narrow",0.002
"144","PCDHA2",5,"narrow",0.002
"145","PEG3",3,"narrow",0.002
"146","ACTC1",10,"narrow",0.002
"147","TMEM30A",1,"narrow",0.002
"148","SELENOP",5,"narrow",0.002
"149","TCEAL2",70,"narrow",0.002
"150","LCK",41,"narrow",0.002
"151","HAPLN4",1,"narrow",0.002
"152","SCGB1D2",12,"narrow",0.002
"153","CSMD3",1,"narrow",0.002
"154","GTSF1",11,"narrow",0.002
"155","RHBDL2",1,"narrow",0.002
"156","SULT2A1",1,"narrow",0.002
"157","ZDHHC21",2,"narrow",0.002
