"","Gene","Count","Thresh.Name","Thresh.Value"
"1","SNRPD2",3,"narrow",0.002
"2","NUDC",6,"narrow",0.002
"3","ZADH2",2,"narrow",0.002
"4","IQGAP3",1,"narrow",0.002
"5","POLR2L",3,"narrow",0.002
"6","ABCF1",1,"narrow",0.002
"7","DYNLRB1",15,"narrow",0.002
"8","CEP128",8,"narrow",0.002
"9","TUBB2A",2,"narrow",0.002
"10","AMPD2",4,"narrow",0.002
"11","MFSD4B",1,"narrow",0.002
"12","PSMA1",5,"narrow",0.002
"13","PTAR1",2,"narrow",0.002
"14","PIGU",1,"narrow",0.002
"15","LAMTOR3",9,"narrow",0.002
"16","COX7C",1,"narrow",0.002
"17","RCBTB2",9,"narrow",0.002
"18","MCM2",6,"narrow",0.002
"19","ZMAT3",4,"narrow",0.002
"20","RPL36AL",1,"narrow",0.002
"21","S100A4",2,"narrow",0.002
"22","RNF7",6,"narrow",0.002
"23","EIF4A1",1,"narrow",0.002
"24","FAHD1",3,"narrow",0.002
"25","MTERF3",14,"narrow",0.002
"26","SUMO3",5,"narrow",0.002
"27","AGRN",7,"narrow",0.002
"28","CLIC4",2,"narrow",0.002
"29","SMIM19",4,"narrow",0.002
"30","SFXN4",3,"narrow",0.002
"31","PUF60",2,"narrow",0.002
"32","POLG2",7,"narrow",0.002
"33","ACSF3",4,"narrow",0.002
"34","CCDC77",1,"narrow",0.002
"35","PSMG2",1,"narrow",0.002
"36","RELL1",2,"narrow",0.002
"37","HGS",1,"narrow",0.002
"38","TBC1D16",1,"narrow",0.002
"39","ACTB",3,"narrow",0.002
"40","UPF3B",4,"narrow",0.002
"41","MAF1",1,"narrow",0.002
"42","APPL2",2,"narrow",0.002
"43","ERCC5",1,"narrow",0.002
"44","SRP14",3,"narrow",0.002
"45","MTERF2",14,"narrow",0.002
"46","WDFY1",1,"narrow",0.002
"47","LYPLA1",27,"narrow",0.002
"48","GZF1",2,"narrow",0.002
"49","PGGHG",1,"narrow",0.002
"50","KLHL8",2,"narrow",0.002
"51","CSRP1",58,"narrow",0.002
"52","FAM50A",13,"narrow",0.002
"53","SART1",3,"narrow",0.002
"54","YIPF3",13,"narrow",0.002
"55","ARL1",6,"narrow",0.002
"56","NVL",1,"narrow",0.002
"57","AASDHPPT",1,"narrow",0.002
"58","SNAPC4",8,"narrow",0.002
"59","INSIG2",2,"narrow",0.002
"60","PRPF40A",1,"narrow",0.002
"61","WWTR1",5,"narrow",0.002
"62","RNF114",2,"narrow",0.002
"63","GAB2",1,"narrow",0.002
"64","RPS23",5,"narrow",0.002
"65","CBR1",1,"narrow",0.002
"66","RBBP9",3,"narrow",0.002
"67","STX17",2,"narrow",0.002
"68","TCEAL9",1,"narrow",0.002
"69","RACK1",2,"narrow",0.002
"70","ATP13A1",1,"narrow",0.002
"71","S100A9",20,"narrow",0.002
"72","ELOB",5,"narrow",0.002
"73","INPP5D",7,"narrow",0.002
"74","CCNG1",2,"narrow",0.002
"75","PPP2CB",2,"narrow",0.002
"76","TSPAN3",10,"narrow",0.002
"77","ZNF121",1,"narrow",0.002
"78","TMED4",1,"narrow",0.002
"79","EVL",1,"narrow",0.002
"80","SLC41A3",6,"narrow",0.002
"81","SNTB1",3,"narrow",0.002
"82","NPHP4",4,"narrow",0.002
"83","PHRF1",1,"narrow",0.002
"84","TMEM126B",3,"narrow",0.002
"85","ALDH4A1",1,"narrow",0.002
"86","DGCR8",9,"narrow",0.002
"87","DGKZ",2,"narrow",0.002
"88","HAUS8",6,"narrow",0.002
"89","PPP2CA",1,"narrow",0.002
"90","TCEAL1",1,"narrow",0.002
"91","HMGN4",1,"narrow",0.002
"92","ABITRAM",1,"narrow",0.002
"93","TCEAL8",4,"narrow",0.002
"94","LRCH4",3,"narrow",0.002
"95","RPUSD4",1,"narrow",0.002
"96","CACUL1",2,"narrow",0.002
"97","NBPF15",10,"narrow",0.002
"98","DNAJB14",2,"narrow",0.002
"99","ZC3H4",13,"narrow",0.002
"100","MAP3K14",4,"narrow",0.002
"101","SLC30A7",1,"narrow",0.002
"102","VTI1B",4,"narrow",0.002
"103","ARHGAP30",4,"narrow",0.002
"104","SMC1A",1,"narrow",0.002
"105","AGFG2",1,"narrow",0.002
"106","TXNL4A",4,"narrow",0.002
"107","C15orf39",2,"narrow",0.002
"108","CNOT8",2,"narrow",0.002
"109","ATP1B3",2,"narrow",0.002
"110","PFDN1",11,"narrow",0.002
"111","RNF5",2,"narrow",0.002
"112","NOC2L",10,"narrow",0.002
