geneID	string_protein_id	propagate_scores
PDCD1	9606.ENSP00000335062	0.15405283897223584
CD8A	9606.ENSP00000386559	0.005898142259328849
CD4	9606.ENSP00000011653	0.005636229779712358
CTLA4	9606.ENSP00000497102	0.004912629408835451
IFNG	9606.ENSP00000229135	0.004659982249602858
CD28	9606.ENSP00000324890	0.004468507304552944
TNF	9606.ENSP00000398698	0.004367463561150147
CD274	9606.ENSP00000370989	0.004341462804771025
IL2	9606.ENSP00000226730	0.004266218916121338
IL10	9606.ENSP00000412237	0.004070422680350923
ICOS	9606.ENSP00000319476	0.004063776149025517
LAG3	9606.ENSP00000203629	0.004050631783862044
HAVCR2	9606.ENSP00000312002	0.004016776790421322
CD86	9606.ENSP00000332049	0.00389021365974186
EGFR	9606.ENSP00000275493	0.0038134298093012815
TIGIT	9606.ENSP00000419085	0.0037984844707126065
CD80	9606.ENSP00000264246	0.003743613885579723
TNFRSF9	9606.ENSP00000478699	0.003559570019260988
CD19	9606.ENSP00000313419	0.0034630491814702916
FCGR3A	9606.ENSP00000356946	0.003428395873460389
CD40LG	9606.ENSP00000359663	0.0034011102727665287
FOXP3	9606.ENSP00000365380	0.0033825477592224194
CD247	9606.ENSP00000354782	0.003298007565208176
PDCD1LG2	9606.ENSP00000380855	0.003290001925791839
BTLA	9606.ENSP00000333919	0.003282923294179626
GZMB	9606.ENSP00000216341	0.003265722397291862
PRF1	9606.ENSP00000398568	0.003190476298614276
FCGR3B	9606.ENSP00000433642	0.0031507899268191698
TNFRSF4	9606.ENSP00000368538	0.00311462090360269
TNFRSF14	9606.ENSP00000347948	0.003112341265153808
KLRK1	9606.ENSP00000240618	0.003105138543369469
LCK	9606.ENSP00000477713	0.0030407436882273656
IL17A	9606.ENSP00000497968	0.003016977440345389
CD3E	9606.ENSP00000354566	0.002984057739641683
PTPN11	9606.ENSP00000489597	0.00296173929401387
TBX21	9606.ENSP00000177694	0.002942421963327343
TNFRSF18	9606.ENSP00000328207	0.002893598942645582
CD5	9606.ENSP00000342681	0.0028389967853782692
IL2RA	9606.ENSP00000369293	0.002814116267302871
CD276	9606.ENSP00000320084	0.002797264921301273
LGALS9	9606.ENSP00000378856	0.0027769066827618154
CXCR3	9606.ENSP00000362795	0.002741666840761786
ICOSLG	9606.ENSP00000339477	0.0027346737715417796
CXCL10	9606.ENSP00000305651	0.0026932477237868713
IDO1	9606.ENSP00000430950	0.002691844479375922
GZMA	9606.ENSP00000274306	0.002677161883115335
KLRC1	9606.ENSP00000438038	0.002658610384988576
IL2RB	9606.ENSP00000216223	0.002640939357408249
FASLG	9606.ENSP00000356694	0.0026401175968187095
CD38	9606.ENSP00000226279	0.002622857684498821
ZAP70	9606.ENSP00000264972	0.002608997318520692
CXCR5	9606.ENSP00000292174	0.0026053327203305826
CD3D	9606.ENSP00000300692	0.0025930626091721525
PTPRC	9606.ENSP00000411355	0.0024680467932601683
CD3G	9606.ENSP00000431445	0.0024680142072547864
KLRG1	9606.ENSP00000266551	0.002466209355299605
CD68	9606.ENSP00000250092	0.0024652191533825938
HLA-DRA	9606.ENSP00000378786	0.0024478119247341554
PTPN6	9606.ENSP00000391592	0.0024173607366614197
PVR	9606.ENSP00000402060	0.0023918838423271265
HLA-DRB1	9606.ENSP00000353099	0.0023325982988064583
IGKV1-33	9606.ENSP00000479032	0.002329557241010206
LGALS9C	9606.ENSP00000329932	0.002327027951580822
CD160	9606.ENSP00000358294	0.0023263297818279234
CD27	9606.ENSP00000266557	0.0022913302771666046
LGALS9B	9606.ENSP00000315564	0.0022898123889000775
IGKV1D-33	9606.ENSP00000482678	0.002286089480054883
CD47	9606.ENSP00000355361	0.0022676033215344813
VTCN1	9606.ENSP00000358470	0.002265297218922927
IGKV2D-29	9606.ENSP00000483567	0.0022147350840079016
IL6	9606.ENSP00000385675	0.002152341893702853
IGKV2D-28	9606.ENSP00000452662	0.0021039807734067623
