"","Gene","Count","Thresh.Name","Thresh.Value"
"1","TMEM229B",1,"narrow",0.002
"2","SLC20A1",1,"narrow",0.002
"3","ABHD14B",5,"narrow",0.002
"4","MR1",1,"narrow",0.002
"5","MAP3K11",3,"narrow",0.002
"6","VAT1",1,"narrow",0.002
"7","FLOT2",2,"narrow",0.002
"8","PEMT",1,"narrow",0.002
"9","TAPBP",1,"narrow",0.002
"10","COX5A",1,"narrow",0.002
"11","H2AJ",1,"narrow",0.002
"12","COL5A2",2,"narrow",0.002
"13","HLA-F",1,"narrow",0.002
"14","ZNF219",1,"narrow",0.002
"15","TMEM229B",1,"very.tight",0.005
"16","TRMT112",1,"very.tight",0.005
"17","ACP5",1,"very.tight",0.005
"18","C20orf27",1,"very.tight",0.005
"19","PSMD10",1,"very.tight",0.005
"20","CORO7",2,"very.tight",0.005
"21","SERPINB1",1,"very.tight",0.005
"22","NAA38",1,"very.tight",0.005
"23","NAA50",1,"very.tight",0.005
"24","SLC20A1",1,"very.tight",0.005
"25","RFX5",1,"very.tight",0.005
"26","UNC119",2,"very.tight",0.005
"27","ABHD14B",9,"very.tight",0.005
"28","COTL1",1,"very.tight",0.005
"29","MR1",1,"very.tight",0.005
"30","SNX12",1,"very.tight",0.005
"31","MAP3K11",6,"very.tight",0.005
"32","SEPTIN6",1,"very.tight",0.005
"33","VAT1",3,"very.tight",0.005
"34","ANKS1A",3,"very.tight",0.005
"35","PGRMC2",1,"very.tight",0.005
"36","FLOT2",5,"very.tight",0.005
"37","GM2A",1,"very.tight",0.005
"38","CREG1",1,"very.tight",0.005
"39","PEMT",1,"very.tight",0.005
"40","TAPBP",1,"very.tight",0.005
"41","COX5A",1,"very.tight",0.005
"42","ITPK1",1,"very.tight",0.005
"43","HLA-E",1,"very.tight",0.005
"44","SLC9A3R1",1,"very.tight",0.005
"45","H2AJ",1,"very.tight",0.005
"46","WBP2",1,"very.tight",0.005
"47","ODF2",1,"very.tight",0.005
"48","CLUH",1,"very.tight",0.005
"49","NDUFC1",3,"very.tight",0.005
"50","HLA-B",1,"very.tight",0.005
"51","ATP6V0C",1,"very.tight",0.005
"52","COL5A2",3,"very.tight",0.005
"53","HLA-F",1,"very.tight",0.005
"54","SAT1",1,"very.tight",0.005
"55","ARL2",1,"very.tight",0.005
"56","SOD2",2,"very.tight",0.005
"57","CEP70",2,"very.tight",0.005
"58","ZNF219",1,"very.tight",0.005
"59","POLR2L",1,"tight",0.01
"60","TMEM229B",5,"tight",0.01
"61","EEF2",1,"tight",0.01
"62","SRP14",1,"tight",0.01
"63","CISD3",1,"tight",0.01
"64","PIP4P1",1,"tight",0.01
"65","CORO1A",1,"tight",0.01
"66","TRMT112",3,"tight",0.01
"67","ACP5",2,"tight",0.01
"68","FAM219B",1,"tight",0.01
"69","TNFAIP8",1,"tight",0.01
"70","SLC27A3",1,"tight",0.01
"71","RAI14",1,"tight",0.01
"72","CDC25B",1,"tight",0.01
"73","LGALS3BP",4,"tight",0.01
"74","C20orf27",2,"tight",0.01
"75","LAMP1",1,"tight",0.01
"76","CHML",1,"tight",0.01
"77","INPP5F",1,"tight",0.01
"78","PSMD10",1,"tight",0.01
"79","UCP2",1,"tight",0.01
"80","CORO7",4,"tight",0.01
"81","SERPINB1",1,"tight",0.01
"82","RPL29",1,"tight",0.01
"83","ATP6V1F",1,"tight",0.01
"84","ECH1",1,"tight",0.01
"85","NAA38",1,"tight",0.01
"86","NAA50",1,"tight",0.01
"87","DPY19L3",2,"tight",0.01
"88","ARHGDIA",4,"tight",0.01
"89","SLC20A1",1,"tight",0.01
"90","RFX5",1,"tight",0.01
"91","ATF5",2,"tight",0.01
"92","HSPBP1",1,"tight",0.01
"93","UNC119",2,"tight",0.01
"94","VPS25",1,"tight",0.01
"95","GOLIM4",1,"tight",0.01
"96","ABHD14B",10,"tight",0.01
"97","SCAMP2",1,"tight",0.01
"98","COTL1",1,"tight",0.01
"99","SLC25A39",1,"tight",0.01
"100","TMEM164",1,"tight",0.01
"101","PTPN12",1,"tight",0.01
"102","MR1",1,"tight",0.01
"103","CD74",1,"tight",0.01
"104","RPS28",1,"tight",0.01
"105","ANKRD52",1,"tight",0.01
"106","SNX12",1,"tight",0.01
"107","POLR2E",1,"tight",0.01
"108","MAP3K11",10,"tight",0.01
"109","ILRUN",1,"tight",0.01
"110","TRIM21",1,"tight",0.01
"111","SEPTIN6",1,"tight",0.01
"112","HNRNPUL2",1,"tight",0.01
"113","VAT1",4,"tight",0.01
"114","COASY",1,"tight",0.01
"115","SELENOH",1,"tight",0.01
"116","MAP1B",1,"tight",0.01
"117","ANKS1A",6,"tight",0.01
"118","LYZ",2,"tight",0.01
"119","PGRMC2",1,"tight",0.01
"120","WAS",1,"tight",0.01
"121","ENSA",1,"tight",0.01
"122","MRPL14",1,"tight",0.01
"123","LCP1",1,"tight",0.01
"124","SLC26A2",2,"tight",0.01
"125","IGSF8",1,"tight",0.01
"126","UQCC2",1,"tight",0.01
"127","FLOT2",8,"tight",0.01
"128","NFKBIE",1,"tight",0.01
"129","CD48",1,"tight",0.01
"130","MCRIP1",3,"tight",0.01
"131","GM2A",3,"tight",0.01
"132","CLTB",1,"tight",0.01
"133","CREG1",1,"tight",0.01
"134","SLC25A23",1,"tight",0.01
"135","NELFA",1,"tight",0.01
"136","PPFIBP1",3,"tight",0.01
"137","GGA2",1,"tight",0.01
"138","RPS2",1,"tight",0.01
"139","TSC22D3",3,"tight",0.01
"140","PEMT",1,"tight",0.01
"141","SLC7A1",1,"tight",0.01
"142","FRS2",1,"tight",0.01
"143","TAPBP",2,"tight",0.01
"144","VPS18",2,"tight",0.01
"145","LRPAP1",1,"tight",0.01
"146","COX5A",1,"tight",0.01
"147","ITPK1",3,"tight",0.01
"148","HLA-E",2,"tight",0.01
"149","SLC9A3R1",1,"tight",0.01
"150","H2AJ",1,"tight",0.01
"151","CCDC43",2,"tight",0.01
"152","WBP2",1,"tight",0.01
"153","LAMTOR1",1,"tight",0.01
"154","ODF2",1,"tight",0.01
"155","NARS2",1,"tight",0.01
"156","MIEN1",1,"tight",0.01
"157","CYB5R1",3,"tight",0.01
"158","CLUH",1,"tight",0.01
"159","CD37",4,"tight",0.01
"160","MAD2L1BP",1,"tight",0.01
"161","NAPRT",1,"tight",0.01
"162","NDUFC1",6,"tight",0.01
"163","DNPH1",1,"tight",0.01
"164","HLA-B",1,"tight",0.01
"165","ATP6V0C",2,"tight",0.01
"166","CUTA",1,"tight",0.01
"167","COL5A2",8,"tight",0.01
"168","HLA-F",3,"tight",0.01
"169","TRAPPC2L",1,"tight",0.01
"170","SAT1",1,"tight",0.01
"171","ARL2",1,"tight",0.01
"172","SOD2",3,"tight",0.01
"173","CEP70",6,"tight",0.01
"174","NMD3",1,"tight",0.01
"175","HIGD2A",1,"tight",0.01
"176","ZNF219",1,"tight",0.01
"177","POLR2L",3,"medium",0.02
"178","CENPB",1,"medium",0.02
"179","TMEM229B",9,"medium",0.02
"180","HLA-A",3,"medium",0.02
"181","IRF1",2,"medium",0.02
"182","TRIM26",1,"medium",0.02
"183","ATP6V0D1",3,"medium",0.02
"184","SUMO3",1,"medium",0.02
"185","EEF2",1,"medium",0.02
"186","COL1A2",1,"medium",0.02
"187","SRP14",2,"medium",0.02
"188","CISD3",3,"medium",0.02
"189","GOT1",1,"medium",0.02
"190","RPL13",1,"medium",0.02
"191","PIP4P1",6,"medium",0.02
"192","ARHGEF25",1,"medium",0.02
"193","PDRG1",1,"medium",0.02
"194","BCL2L11",1,"medium",0.02
"195","TCEAL8",1,"medium",0.02
"196","CORO1A",1,"medium",0.02
"197","EHBP1",1,"medium",0.02
"198","GAS2L3",1,"medium",0.02
"199","BAD",1,"medium",0.02
"200","TRMT112",6,"medium",0.02
"201","SERPINE1",1,"medium",0.02
"202","APH1A",1,"medium",0.02
"203","ITGAV",1,"medium",0.02
"204","ACP5",5,"medium",0.02
"205","FAM219B",3,"medium",0.02
"206","TNFAIP8",2,"medium",0.02
