"","Gene","Count","Thresh.Name","Thresh.Value"
"1","A2M",1,"narrow",0.002
"2","A2ML1",22,"narrow",0.002
"3","AARD",4,"narrow",0.002
"4","ABCA13",16,"narrow",0.002
"5","ABCA8",2,"narrow",0.002
"6","ABCC6",12,"narrow",0.002
"7","ABCG2",161,"narrow",0.002
"8","ABI3BP",12,"narrow",0.002
"9","ACAN",4,"narrow",0.002
"10","ACE2",14,"narrow",0.002
"11","ACHE",3,"narrow",0.002
"12","ACKR2",7,"narrow",0.002
"13","ACKR3",1,"narrow",0.002
"14","ACOT11",10,"narrow",0.002
"15","ACOT6",13,"narrow",0.002
"16","ACRBP",3,"narrow",0.002
"17","ACSL5",28,"narrow",0.002
"18","ACSM3",1,"narrow",0.002
"19","ACSM5",72,"narrow",0.002
"20","ACSS3",2,"narrow",0.002
"21","ACTA2",9,"narrow",0.002
"22","ACTN3",4,"narrow",0.002
"23","ADAM12",21,"narrow",0.002
"24","ADAM23",93,"narrow",0.002
"25","ADAMTS10",11,"narrow",0.002
"26","ADAMTS12",1,"narrow",0.002
"27","ADAMTS2",51,"narrow",0.002
"28","ADAMTS20",22,"narrow",0.002
"29","ADAMTS3",2,"narrow",0.002
"30","ADAMTS4",1,"narrow",0.002
"31","ADAMTS5",16,"narrow",0.002
"32","ADAMTS9",2,"narrow",0.002
"33","ADAMTSL1",1,"narrow",0.002
"34","ADARB2",1,"narrow",0.002
"35","ADCY2",3,"narrow",0.002
"36","ADCY4",4,"narrow",0.002
"37","ADCYAP1",4,"narrow",0.002
"38","ADD2",52,"narrow",0.002
"39","ADRA1D",2,"narrow",0.002
"40","ADRB1",1,"narrow",0.002
"41","ADRB2",1,"narrow",0.002
"42","ADTRP",2,"narrow",0.002
"43","AEBP1",1,"narrow",0.002
"44","AFAP1L1",1,"narrow",0.002
"45","AGO3",1,"narrow",0.002
"46","AGR3",6,"narrow",0.002
"47","AGRN",1,"narrow",0.002
"48","AGT",12,"narrow",0.002
"49","AIM2",2,"narrow",0.002
"50","AJAP1",3,"narrow",0.002
"51","AKIRIN1",1,"narrow",0.002
"52","AKR1B10",1,"narrow",0.002
"53","ALDH1A2",52,"narrow",0.002
"54","ALDH1A3",9,"narrow",0.002
"55","ALDH1L1",23,"narrow",0.002
"56","ALDH1L2",2,"narrow",0.002
"57","ALDH3A1",16,"narrow",0.002
"58","ALDH3B1",4,"narrow",0.002
"59","ALG1L",143,"narrow",0.002
"60","ALK",55,"narrow",0.002
"61","ALOX15",10,"narrow",0.002
"62","ALOX5",31,"narrow",0.002
"63","ALPK2",6,"narrow",0.002
"64","ALPK3",1,"narrow",0.002
"65","ALPP",2,"narrow",0.002
"66","ALS2CL",3,"narrow",0.002
"67","ALX1",4,"narrow",0.002
"68","AMOTL2",1,"narrow",0.002
"69","AMPH",38,"narrow",0.002
"70","ANGPT1",3,"narrow",0.002
"71","ANGPTL4",1,"narrow",0.002
"72","ANGPTL6",143,"narrow",0.002
"73","ANK1",2,"narrow",0.002
"74","ANKH",1,"narrow",0.002
"75","ANKRD18B",18,"narrow",0.002
"76","ANKRD2",91,"narrow",0.002
"77","ANKRD30B",1,"narrow",0.002
"78","ANKRD33B",1,"narrow",0.002
"79","ANKRD34B",8,"narrow",0.002
"80","ANO2",12,"narrow",0.002
"81","ANO3",1,"narrow",0.002
"82","ANO7",17,"narrow",0.002
"83","ANPEP",3,"narrow",0.002
"84","ANXA3",1,"narrow",0.002
"85","ANXA8",15,"narrow",0.002
"86","ANXA8L1",19,"narrow",0.002
"87","APBA2",1,"narrow",0.002
"88","APC2",11,"narrow",0.002
"89","APCDD1",81,"narrow",0.002
"90","APCDD1L",2,"narrow",0.002
"91","APLN",1,"narrow",0.002
"92","APOBEC3G",5,"narrow",0.002
"93","APOD",25,"narrow",0.002
"94","APOE",6,"narrow",0.002
"95","APOH",2,"narrow",0.002
"96","APOL1",3,"narrow",0.002
"97","APOL6",3,"narrow",0.002
"98","AQP1",1,"narrow",0.002
"99","AQP3",2,"narrow",0.002
"100","ARG2",62,"narrow",0.002
"101","ARHGAP25",27,"narrow",0.002
"102","ARHGAP28",2,"narrow",0.002
"103","ARHGAP40",2,"narrow",0.002
"104","ARHGAP6",3,"narrow",0.002
"105","ARL10",1,"narrow",0.002
"106","ARL11",32,"narrow",0.002
"107","ARL14",19,"narrow",0.002
"108","ARL14EPL",7,"narrow",0.002
"109","ARL2",1,"narrow",0.002
"110","ARMC4",1,"narrow",0.002
"111","ARMCX2",2,"narrow",0.002
"112","ARSI",8,"narrow",0.002
"113","ART1",12,"narrow",0.002
"114","AS3MT",1,"narrow",0.002
"115","ASB5",1,"narrow",0.002
"116","ASCL2",1,"narrow",0.002
"117","ASIC2",10,"narrow",0.002
"118","ASPG",3,"narrow",0.002
"119","ASPRV1",11,"narrow",0.002
"120","ASXL3",20,"narrow",0.002
"121","ATF2",1,"narrow",0.002
"122","ATF4",1,"narrow",0.002
"123","ATF5",1,"narrow",0.002
"124","ATP12A",3,"narrow",0.002
"125","ATP2A3",1,"narrow",0.002
"126","ATP6V0A4",1,"narrow",0.002
"127","ATP8A2",1,"narrow",0.002
"128","AVPI1",21,"narrow",0.002
"129","AXDND1",2,"narrow",0.002
"130","AXIN2",88,"narrow",0.002
"131","AXL",17,"narrow",0.002
"132","B3GALT1",3,"narrow",0.002
"133","B3GALT2",66,"narrow",0.002
"134","B3GALT4",1,"narrow",0.002
"135","B3GALT5",4,"narrow",0.002
"136","B3GNT3",8,"narrow",0.002
"137","B3GNT7",2,"narrow",0.002
"138","B4GALNT2",1,"narrow",0.002
"139","BAALC",37,"narrow",0.002
"140","BACE2",4,"narrow",0.002
"141","BARX1",5,"narrow",0.002
"142","BASP1",3,"narrow",0.002
"143","BATF",1,"narrow",0.002
"144","BCAS1",26,"narrow",0.002
"145","BCAT1",2,"narrow",0.002
"146","BCL11B",13,"narrow",0.002
"147","BEAN1",3,"narrow",0.002
"148","BEND7",6,"narrow",0.002
"149","BEX2",52,"narrow",0.002
"150","BEX4",4,"narrow",0.002
"151","BGN",17,"narrow",0.002
"152","BIN2",2,"narrow",0.002
"153","BMP2",1,"narrow",0.002
"154","BMP3",5,"narrow",0.002
"155","BMPER",1,"narrow",0.002
"156","BNC1",40,"narrow",0.002
"157","BNC2",4,"narrow",0.002
"158","BNIP1",1,"narrow",0.002
"159","BPIFB1",1,"narrow",0.002
"160","BPIFB2",2,"narrow",0.002
"161","BRINP3",2,"narrow",0.002
"162","BSN",1,"narrow",0.002
"163","BSND",2,"narrow",0.002
"164","BTF3L4",2,"narrow",0.002
"165","C10orf67",98,"narrow",0.002
"166","C11orf86",6,"narrow",0.002
"167","C11orf96",95,"narrow",0.002
"168","C12orf56",1,"narrow",0.002
"169","C15orf48",22,"narrow",0.002
"170","C19orf33",30,"narrow",0.002
"171","C19orf81",3,"narrow",0.002
"172","C1QTNF5",5,"narrow",0.002
"173","C1orf226",1,"narrow",0.002
