,iter,drug,tissue,model,penalty,preproc,J,p,balance_weights,feature,feat_dim,network_weight,connectivity,acc,tp,tn,fp,fn,roc_auc,brier,log_loss
0,0,Atezo,BLCA,LR,0.01,robust,3,4,True,WM,12,weighted,tight,0.48,11,25,33,6,0.5831643002028397,0.23623275118823395,0.6564896510945747
1,1,Atezo,BLCA,LR,0.01,robust,3,4,True,WM,12,weighted,tight,0.49333333333333335,13,24,34,4,0.5811359026369168,0.2341898644208276,0.6562977425680788
2,2,Atezo,BLCA,LR,0.04,robust,3,4,True,WM,12,weighted,tight,0.37333333333333335,12,16,42,5,0.5081135902636917,0.2572791919297126,0.7005536407407759
3,0,Atezo,BLCA,LR,0.01,standardize,3,4,True,WM,12,weighted,tight,0.4266666666666667,12,20,38,5,0.5283975659229209,0.24654563766880946,0.683293399970877
4,1,Atezo,BLCA,LR,0.02,standardize,3,4,True,WM,12,weighted,tight,0.41333333333333333,13,18,40,4,0.577079107505071,0.2497937886927757,0.6881182625562555
5,2,Atezo,BLCA,LR,0.01,standardize,3,4,True,WM,12,weighted,tight,0.41333333333333333,11,20,38,6,0.5324543610547667,0.2453001771867912,0.6811953131886302
6,0,Atezo,BLCA,LR,0.01,robust,3,4,False,WM,12,weighted,tight,0.7733333333333333,0,58,0,17,0.5537525354969575,0.17337256129401923,0.5279112498903091
7,1,Atezo,BLCA,LR,0.02,robust,3,4,False,WM,12,weighted,tight,0.7733333333333333,0,58,0,17,0.6105476673427992,0.17000794438287614,0.5160900599002746
8,2,Atezo,BLCA,LR,0.01,robust,3,4,False,WM,12,weighted,tight,0.7733333333333333,0,58,0,17,0.5801217038539553,0.17403336737182076,0.5359058650742333
9,0,Atezo,BLCA,LR,0.01,standardize,3,4,False,WM,12,weighted,tight,0.7733333333333333,0,58,0,17,0.6460446247464503,0.1689210117228436,0.5138919628303874
10,1,Atezo,BLCA,LR,0.01,standardize,3,4,False,WM,12,weighted,tight,0.7733333333333333,0,58,0,17,0.5841784989858012,0.17229384378662027,0.5246984020129594
11,2,Atezo,BLCA,LR,0.02,standardize,3,4,False,WM,12,weighted,tight,0.7733333333333333,0,58,0,17,0.6024340770791075,0.16756128512670154,0.5075952355292679
12,0,Atezo,BLCA,LR,0.01,robust,3,4,True,WM_Norm,12,weighted,tight,0.41333333333333333,2,29,29,15,0.32555780933062883,0.26012772872400686,0.7135391361944475
13,1,Atezo,BLCA,LR,0.14,robust,3,4,True,WM_Norm,12,weighted,tight,0.5066666666666667,6,32,26,11,0.4320486815415822,0.2559419112465263,0.705365180823541
14,2,Atezo,BLCA,LR,0.45,robust,3,4,True,WM_Norm,12,weighted,tight,0.38666666666666666,4,25,33,13,0.32251521298174446,0.26497865718290853,0.7236591259689088
15,0,Atezo,BLCA,LR,0.01,standardize,3,4,True,WM_Norm,12,weighted,tight,0.5866666666666667,6,38,20,11,0.5324543610547666,0.24671264019276753,0.6865686952151909
16,1,Atezo,BLCA,LR,0.04,standardize,3,4,True,WM_Norm,12,weighted,tight,0.49333333333333335,4,33,25,13,0.44827586206896547,0.2477697449700272,0.6886547238170599
17,2,Atezo,BLCA,LR,0.99,standardize,3,4,True,WM_Norm,12,weighted,tight,0.4666666666666667,6,29,29,11,0.5,0.24503542105936224,0.6833730288695624
18,0,Atezo,BLCA,LR,0.03,robust,3,4,False,WM_Norm,12,weighted,tight,0.7733333333333333,0,58,0,17,0.3904665314401623,0.18256036213889462,0.5554815890373287
19,1,Atezo,BLCA,LR,0.11,robust,3,4,False,WM_Norm,12,weighted,tight,0.7733333333333333,0,58,0,17,0.45537525354969577,0.18021223642383352,0.5491740963762404
20,2,Atezo,BLCA,LR,0.49,robust,3,4,False,WM_Norm,12,weighted,tight,0.7733333333333333,0,58,0,17,0.41886409736308317,0.17933637827128923,0.5470330314582399
21,0,Atezo,BLCA,LR,0.98,standardize,3,4,False,WM_Norm,12,weighted,tight,0.7733333333333333,0,58,0,17,0.36206896551724144,0.1905109201623636,0.5804831798017768
22,1,Atezo,BLCA,LR,0.08,standardize,3,4,False,WM_Norm,12,weighted,tight,0.7733333333333333,0,58,0,17,0.38742393509127787,0.1798872858464523,0.5485752903982688
23,2,Atezo,BLCA,LR,0.01,standardize,3,4,False,WM_Norm,12,weighted,tight,0.7733333333333333,0,58,0,17,0.45030425963488846,0.1760599985020379,0.5377194481271023
24,0,Atezo,BLCA,LR,0.01,robust,3,4,True,TARGET,1,weighted,tight,0.56,12,30,28,5,0.6419878296146044,0.24933778078909274,0.6918226979266926
25,1,Atezo,BLCA,LR,0.01,robust,3,4,True,TARGET,1,weighted,tight,0.56,9,33,25,8,0.5679513184584178,0.2491072764757456,0.6913644584038117
26,2,Atezo,BLCA,LR,0.01,robust,3,4,True,TARGET,1,weighted,tight,0.52,8,31,27,9,0.5030425963488844,0.2508900266531327,0.6949369122359832
27,0,Atezo,BLCA,LR,0.01,standardize,3,4,True,TARGET,1,weighted,tight,0.5466666666666666,10,31,27,7,0.5679513184584178,0.24981353580542792,0.692779149196513
28,1,Atezo,BLCA,LR,0.01,standardize,3,4,True,TARGET,1,weighted,tight,0.5066666666666667,8,30,28,9,0.4401622718052738,0.25207164876400906,0.6973022185996216
29,2,Atezo,BLCA,LR,0.01,standardize,3,4,True,TARGET,1,weighted,tight,0.56,7,35,23,10,0.49594320486815413,0.25036609303392443,0.6939016490745132
30,0,Atezo,BLCA,LR,0.01,robust,3,4,False,TARGET,1,weighted,tight,0.7733333333333333,0,58,0,17,0.5720081135902637,0.17486579571029595,0.5340153012019752
31,1,Atezo,BLCA,LR,0.01,robust,3,4,False,TARGET,1,weighted,tight,0.7733333333333333,0,58,0,17,0.49492900608519275,0.17564134292984146,0.5361179946834767
32,2,Atezo,BLCA,LR,0.01,robust,3,4,False,TARGET,1,weighted,tight,0.7733333333333333,0,58,0,17,0.48275862068965525,0.17535787133512332,0.5354014776543424
33,0,Atezo,BLCA,LR,0.01,standardize,3,4,False,TARGET,1,weighted,tight,0.7733333333333333,0,58,0,17,0.515212981744422,0.1753493117265682,0.535397527650094
34,1,Atezo,BLCA,LR,0.01,standardize,3,4,False,TARGET,1,weighted,tight,0.7733333333333333,0,58,0,17,0.5578093306288032,0.17489290409415328,0.5341048450851166
35,2,Atezo,BLCA,LR,0.01,standardize,3,4,False,TARGET,1,weighted,tight,0.7733333333333333,0,58,0,17,0.5598377281947262,0.17472840570322962,0.5335970624388737
36,0,Atezo,BLCA,LR,0.01,robust,3,4,True,IMPRES,1,weighted,tight,0.5066666666666667,13,25,33,4,0.577079107505071,0.24895141188604616,0.6910496598749942
37,1,Atezo,BLCA,LR,0.01,robust,3,4,True,IMPRES,1,weighted,tight,0.52,13,26,32,4,0.6546653144016228,0.2483007100878236,0.6897477624805082
38,2,Atezo,BLCA,LR,0.01,robust,3,4,True,IMPRES,1,weighted,tight,0.4666666666666667,13,22,36,4,0.6217038539553753,0.24895257741484178,0.6910508211933619
39,0,Atezo,BLCA,LR,0.01,standardize,3,4,True,IMPRES,1,weighted,tight,0.48,12,24,34,5,0.5613590263691683,0.24797379887316282,0.6890738939003813
40,1,Atezo,BLCA,LR,0.01,standardize,3,4,True,IMPRES,1,weighted,tight,0.5066666666666667,13,25,33,4,0.6541582150101419,0.24752540264441208,0.6881957732708192
41,2,Atezo,BLCA,LR,0.01,standardize,3,4,True,IMPRES,1,weighted,tight,0.44,11,22,36,6,0.47058823529411764,0.24961634006258374,0.6923766997531775
42,0,Atezo,BLCA,LR,0.01,robust,3,4,False,IMPRES,1,weighted,tight,0.7733333333333333,0,58,0,17,0.6247464503042596,0.17449416471597162,0.5329394359550494
43,1,Atezo,BLCA,LR,0.01,robust,3,4,False,IMPRES,1,weighted,tight,0.7733333333333333,0,58,0,17,0.5593306288032454,0.17482305433991918,0.5338974962717377
44,2,Atezo,BLCA,LR,0.01,robust,3,4,False,IMPRES,1,weighted,tight,0.7733333333333333,0,58,0,17,0.5730223123732252,0.17461266572606488,0.5332639085824383
45,0,Atezo,BLCA,LR,0.01,standardize,3,4,False,IMPRES,1,weighted,tight,0.7733333333333333,0,58,0,17,0.5324543610547667,0.17471514332850518,0.5335265173761017
46,1,Atezo,BLCA,LR,0.01,standardize,3,4,False,IMPRES,1,weighted,tight,0.7733333333333333,0,58,0,17,0.6612576064908723,0.1734839513229646,0.5300831317901011
47,2,Atezo,BLCA,LR,0.01,standardize,3,4,False,IMPRES,1,weighted,tight,0.7733333333333333,0,58,0,17,0.4746450304259635,0.175668571880783,0.5361120293742848
48,0,Atezo,BLCA,LR,0.01,robust,3,4,True,MIRACLE,1,weighted,tight,0.6533333333333333,11,38,20,6,0.7018255578093306,0.24780596902055352,0.6887585051724918
49,1,Atezo,BLCA,LR,0.01,robust,3,4,True,MIRACLE,1,weighted,tight,0.5733333333333334,7,36,22,10,0.5963488843813387,0.24808960481383552,0.6893279826400085
50,2,Atezo,BLCA,LR,0.01,robust,3,4,True,MIRACLE,1,weighted,tight,0.6,12,33,25,5,0.6673427991886408,0.248469981751882,0.6900872302311706
51,0,Atezo,BLCA,LR,0.01,standardize,3,4,True,MIRACLE,1,weighted,tight,0.44,9,24,34,8,0.4888438133874239,0.2542307506059334,0.7016670731082526
52,1,Atezo,BLCA,LR,0.01,standardize,3,4,True,MIRACLE,1,weighted,tight,0.5466666666666666,9,32,26,8,0.6095334685598377,0.24829398703088748,0.6897363112214233
53,2,Atezo,BLCA,LR,0.01,standardize,3,4,True,MIRACLE,1,weighted,tight,0.56,7,35,23,10,0.5385395537525355,0.2477291214964798,0.6886276099231423
54,0,Atezo,BLCA,LR,0.01,robust,3,4,False,MIRACLE,1,weighted,tight,0.7733333333333333,0,58,0,17,0.6318458417849898,0.17441324850563406,0.5327622556510483
55,1,Atezo,BLCA,LR,0.01,robust,3,4,False,MIRACLE,1,weighted,tight,0.7733333333333333,0,58,0,17,0.5933062880324543,0.17478435858993624,0.5337392720449048
56,2,Atezo,BLCA,LR,0.01,robust,3,4,False,MIRACLE,1,weighted,tight,0.7733333333333333,0,58,0,17,0.4776876267748479,0.17569832451454725,0.5364286754407928
57,0,Atezo,BLCA,LR,0.01,standardize,3,4,False,MIRACLE,1,weighted,tight,0.7733333333333333,0,58,0,17,0.5973630831643002,0.1744479676889899,0.5328696239996829
58,1,Atezo,BLCA,LR,0.01,standardize,3,4,False,MIRACLE,1,weighted,tight,0.7733333333333333,0,58,0,17,0.6551724137931034,0.17423187903539575,0.5321838593244308
59,2,Atezo,BLCA,LR,0.01,standardize,3,4,False,MIRACLE,1,weighted,tight,0.7733333333333333,0,58,0,17,0.5446247464503042,0.17491599551773196,0.5341096477914756
60,0,Atezo,BLCA,LR,0.13,robust,3,4,True,LCC,19,weighted,tight,0.38666666666666666,8,21,37,9,0.39148073022312374,0.2960751441111115,0.8310095032253983
