,iter,drug,tissue,model,feature,BIC,train_size,acc,tp,tn,fp,fn,roc_auc,brier,log_loss
0,0,Atezo,BLCA,LR,IMPRES,1.981002096400328,0.1,0.6654275092936803,22,157,51,39,0.5798392181588903,0.24997562240457624,0.6930984253671632
1,1,Atezo,BLCA,LR,IMPRES,1.9847041896039028,0.1,0.4721189591078067,41,86,122,20,0.5747162673392182,0.24925951607449967,0.6916657937406326
2,2,Atezo,BLCA,LR,IMPRES,1.987241556295127,0.1,0.4721189591078067,42,85,123,19,0.5710513871374527,0.24967206423328406,0.6924910195364973
3,3,Atezo,BLCA,LR,IMPRES,1.9888781985681705,0.1,0.654275092936803,21,155,53,40,0.5681746532156369,0.24817848115169966,0.689502993132201
4,4,Atezo,BLCA,LR,IMPRES,1.9840946241861375,0.1,0.6579925650557621,20,157,51,41,0.5728247162673392,0.2485145356311243,0.6901759810299993
5,5,Atezo,BLCA,LR,IMPRES,2.01905815055797,0.1,0.44609665427509293,39,81,127,22,0.547170554854981,0.2487536411051652,0.6906495803171396
6,6,Atezo,BLCA,LR,IMPRES,1.9811091699838355,0.1,0.5315985130111525,20,123,85,41,0.41819041614123575,0.2500629187795488,0.693273020764325
7,7,Atezo,BLCA,LR,IMPRES,1.9820658257567012,0.1,0.6579925650557621,21,156,52,40,0.579563366960908,0.24934609380593745,0.691839308428852
8,8,Atezo,BLCA,LR,IMPRES,1.9958712395855156,0.1,0.6579925650557621,22,155,53,39,0.5621847414880201,0.24794709066833245,0.6890381523545293
9,9,Atezo,BLCA,LR,IMPRES,1.9887050475874593,0.1,0.516728624535316,19,120,88,42,0.4055406683480454,0.2517613034047557,0.6966725379961338
10,10,Atezo,BLCA,LR,IMPRES,1.9858459223537173,0.1,0.4646840148698885,40,85,123,21,0.5731005674653216,0.24986593966672455,0.6928788630879203
11,11,Atezo,BLCA,LR,IMPRES,1.9813391981775097,0.1,0.4646840148698885,41,84,124,20,0.5790116645649432,0.24977714396147813,0.6927014544451191
12,12,Atezo,BLCA,LR,IMPRES,1.9954753294370298,0.1,0.46096654275092935,39,85,123,22,0.5576923076923076,0.2484370384770628,0.6900194128232408
13,13,Atezo,BLCA,LR,IMPRES,1.9832573666338948,0.1,0.45724907063197023,39,84,124,22,0.5667953972257251,0.2492806463492363,0.6917083270699202
14,14,Atezo,BLCA,LR,IMPRES,1.9811302928422476,0.1,0.4795539033457249,42,87,121,19,0.5804697351828498,0.2498435821045834,0.6928343414198411
15,15,Atezo,BLCA,LR,IMPRES,1.9893971420890626,0.1,0.6468401486988847,20,154,54,41,0.5646674022698612,0.24847550476752855,0.6900973377548385
16,16,Atezo,BLCA,LR,IMPRES,2.003837780753675,0.1,0.45724907063197023,40,83,125,21,0.5583228247162673,0.24844639718976316,0.6900361366241684
17,17,Atezo,BLCA,LR,IMPRES,1.9840120654471693,0.1,0.5204460966542751,19,121,87,42,0.4072351828499369,0.24998439070938985,0.6931160097141728
18,18,Atezo,BLCA,LR,IMPRES,1.9811784647567032,0.1,0.5315985130111525,21,122,86,40,0.41590479192938207,0.2500854025743304,0.6933179880101704
19,19,Atezo,BLCA,LR,IMPRES,1.9810345457812226,0.1,0.34572490706319703,40,53,155,21,0.41645649432534676,0.25022796483622695,0.6936031116078497
20,20,Atezo,BLCA,LR,IMPRES,1.9823424397832323,0.1,0.6579925650557621,20,157,51,41,0.5762531525851198,0.24896126238029587,0.6910695603834179
21,21,Atezo,BLCA,LR,IMPRES,1.986061598374787,0.1,0.6468401486988847,21,153,55,40,0.5738493064312736,0.2482039125951583,0.6895537908941166
22,22,Atezo,BLCA,LR,IMPRES,1.9850243250142474,0.1,0.45724907063197023,40,83,125,21,0.5735340479192939,0.2503143835762027,0.6937759730664979
23,23,Atezo,BLCA,LR,IMPRES,1.985443887162307,0.1,0.6505576208178439,22,153,55,39,0.5747556746532156,0.2481342670907995,0.6894145079795843
