,iter,drug,tissue,model,feature,BIC,train_size,acc,tp,tn,fp,fn,roc_auc,brier,log_loss
0,0,crizotinib,BRCA,LR,TARGET,5.073858398745063,0.7,0.5833333333333334,1,6,3,2,0.5555555555555556,0.24194412351963898,0.6768887081520022
1,1,crizotinib,BRCA,LR,TARGET,5.091213302550391,0.7,0.75,0,9,0,3,0.3333333333333333,0.2461312542702707,0.6854089565052663
2,2,crizotinib,BRCA,LR,TARGET,5.060175692389122,0.7,0.8333333333333334,1,9,0,2,0.6296296296296297,0.24194553378285225,0.6769715055557585
3,3,crizotinib,BRCA,LR,TARGET,5.218007152111401,0.7,0.5833333333333334,1,6,3,2,0.4444444444444444,0.23475435332519945,0.658013300696622
4,4,crizotinib,BRCA,LR,TARGET,5.062021848177819,0.7,0.8333333333333334,1,9,0,2,0.3333333333333333,0.24182620843332178,0.6766911953094175
5,5,crizotinib,BRCA,LR,TARGET,5.315929722495455,0.7,0.6666666666666666,0,8,1,3,0.5185185185185185,0.21842082937178967,0.6265818090305242
6,6,crizotinib,BRCA,LR,TARGET,5.3062467050110955,0.7,0.5,1,5,4,2,0.2962962962962963,0.2639144382318181,0.7213172852569548
7,7,crizotinib,BRCA,LR,TARGET,5.060502308798299,0.7,0.75,1,8,1,2,0.4444444444444444,0.24268197650134596,0.6784238104684595
8,8,crizotinib,BRCA,LR,TARGET,5.098588862282538,0.7,0.6666666666666666,0,8,1,3,0.14814814814814817,0.24736382371030993,0.6878754625357294
9,9,crizotinib,BRCA,LR,TARGET,5.109479132460457,0.7,0.8333333333333334,1,9,0,2,0.37037037037037035,0.21550110321421548,0.613084197892832
10,10,crizotinib,BRCA,LR,TARGET,5.322797632278132,0.7,0.5833333333333334,0,7,2,3,0.3333333333333333,0.25458052202572334,0.7023503333806095
11,11,crizotinib,BRCA,LR,TARGET,5.087284115019908,0.7,0.4166666666666667,1,4,5,2,0.5185185185185185,0.24410556554921561,0.6808686799955596
12,12,crizotinib,BRCA,LR,TARGET,5.055159060264267,0.7,0.8333333333333334,2,8,1,1,0.8148148148148148,0.24459969100888693,0.682321957340661
13,13,crizotinib,BRCA,LR,TARGET,5.07199542504871,0.7,0.8333333333333334,1,9,0,2,0.5185185185185185,0.2442292818099858,0.6816040241568664
14,14,crizotinib,BRCA,LR,TARGET,5.139122995289273,0.7,0.6666666666666666,0,8,1,3,0.4074074074074074,0.24147735731517828,0.6760814679619037
15,15,crizotinib,BRCA,LR,TARGET,5.071309118800789,0.7,0.5833333333333334,1,6,3,2,0.5925925925925926,0.24592841657791167,0.6850022418416816
16,16,crizotinib,BRCA,LR,TARGET,5.065386660488303,0.7,0.75,1,8,1,2,0.5555555555555556,0.2409639959109475,0.6748718041824574
17,17,crizotinib,BRCA,LR,TARGET,5.270551590405069,0.7,0.5,0,6,3,3,0.25925925925925924,0.2530973338817531,0.6994035899144855
18,18,crizotinib,BRCA,LR,TARGET,5.084152542267886,0.7,0.75,0,9,0,3,0.7037037037037037,0.2438733377216317,0.6808914536710841
19,19,crizotinib,BRCA,LR,TARGET,5.063056037745046,0.7,0.6666666666666666,1,7,2,2,0.6296296296296295,0.2430720110388723,0.6791779000154309
20,20,crizotinib,BRCA,LR,TARGET,5.279662417198757,0.7,0.75,1,8,1,2,0.4814814814814815,0.2317908371660151,0.6574710611129971
21,21,crizotinib,BRCA,LR,TARGET,5.0733039618947195,0.7,0.75,1,8,1,2,0.5925925925925926,0.24473498448033523,0.6826153179920249
22,22,crizotinib,BRCA,LR,TARGET,5.076726769491816,0.7,0.8333333333333334,1,9,0,2,0.48148148148148145,0.24525701133647712,0.6836592942694525
23,23,crizotinib,BRCA,LR,TARGET,5.189664744911822,0.7,0.75,1,8,1,2,0.4444444444444445,0.2419907238279971,0.6771336334342052
24,24,crizotinib,BRCA,LR,TARGET,5.0883892581423,0.7,0.75,0,9,0,3,0.4444444444444444,0.24570753053009198,0.6845611680723377
25,25,crizotinib,BRCA,LR,TARGET,5.085486432227768,0.7,0.4166666666666667,1,4,5,2,0.5185185185185185,0.23213228748473277,0.6515766925589931
26,26,crizotinib,BRCA,LR,TARGET,5.089744580517742,0.7,0.75,0,9,0,3,0.4444444444444445,0.24372454183626413,0.6805933791778602
27,27,crizotinib,BRCA,LR,TARGET,5.072908807662856,0.7,0.6666666666666666,1,7,2,2,0.5555555555555556,0.24699476745776497,0.6871356261882505
28,28,crizotinib,BRCA,LR,TARGET,5.092690362447414,0.7,0.5833333333333334,0,7,2,3,0.25925925925925924,0.2476010353726703,0.6883489693782624
29,29,crizotinib,BRCA,LR,TARGET,5.121171689090224,0.7,0.16666666666666666,1,1,8,2,0.2962962962962963,0.38804345725174644,1.3349180629701385
30,30,crizotinib,BRCA,LR,TARGET,5.093647034962803,0.7,0.6666666666666666,0,8,1,3,0.3333333333333333,0.2465799090716122,0.686305947730022
31,31,crizotinib,BRCA,LR,TARGET,5.061886812405561,0.7,0.75,2,7,2,1,0.6296296296296297,0.24405499204982062,0.6812237105036233
32,32,crizotinib,BRCA,LR,TARGET,5.211033463278821,0.7,0.4166666666666667,0,5,4,3,0.03703703703703705,0.380468311132327,2.111162638837241
33,33,crizotinib,BRCA,LR,TARGET,5.091021965212958,0.7,0.75,0,9,0,3,0.4074074074074074,0.2433693828757494,0.6798819661725878
34,34,crizotinib,BRCA,LR,TARGET,5.102257484668153,0.7,0.6666666666666666,0,8,1,3,0.07407407407407407,0.2487619720029012,0.690673787756956
35,35,crizotinib,BRCA,LR,TARGET,5.077926980057496,0.7,0.5833333333333334,1,6,3,2,0.4074074074074074,0.24418836347547493,0.6813420418756513
36,36,crizotinib,BRCA,LR,TARGET,5.062040892609296,0.7,0.5833333333333334,2,5,4,1,0.7037037037037037,0.24428486652495282,0.6816865595961455
37,37,crizotinib,BRCA,LR,TARGET,5.179190815297098,0.7,0.75,1,8,1,2,0.5555555555555556,0.2195829138569253,0.6312006959739003
38,38,crizotinib,BRCA,LR,TARGET,5.3575522400639475,0.7,0.6666666666666666,0,8,1,3,0.4074074074074074,0.22944344973577968,0.6517411373017742
39,39,crizotinib,BRCA,LR,TARGET,5.196844372163943,0.7,0.4166666666666667,1,4,5,2,0.3333333333333333,0.2980966034365054,0.7790899049953648
40,40,crizotinib,BRCA,LR,TARGET,5.083482463402846,0.7,0.5,1,5,4,2,0.37037037037037035,0.24790405867754142,0.6889542715849436
41,41,crizotinib,BRCA,LR,TARGET,5.323784115179821,0.7,0.75,0,9,0,3,0.48148148148148145,0.20697175256620307,0.605313413161496
42,42,crizotinib,BRCA,LR,TARGET,5.072574156421272,0.7,0.75,1,8,1,2,0.5185185185185185,0.2458680720635784,0.6848822749085536
43,43,crizotinib,BRCA,LR,TARGET,5.164952466085772,0.7,0.75,2,7,2,1,0.6296296296296297,0.23627652197759927,0.6652596984245556
44,44,crizotinib,BRCA,LR,TARGET,5.168474125153526,0.7,0.6666666666666666,0,8,1,3,0.33333333333333337,0.23762778526050754,0.6683534151309102
45,45,crizotinib,BRCA,LR,TARGET,5.066536502598043,0.7,0.6666666666666666,1,7,2,2,0.5555555555555556,0.24138364426135506,0.6757483262688296
46,46,crizotinib,BRCA,LR,TARGET,5.066998147890028,0.7,0.6666666666666666,2,6,3,1,0.5555555555555556,0.24359908783577064,0.6800335504516054
47,47,crizotinib,BRCA,LR,TARGET,5.091924384343924,0.7,0.75,0,9,0,3,0.25925925925925924,0.24717045350764125,0.6874875132894789
48,48,crizotinib,BRCA,LR,TARGET,5.155238523153632,0.7,0.8333333333333334,2,8,1,1,0.6666666666666665,0.22776790982160042,0.6480471894243955
49,49,crizotinib,BRCA,LR,TARGET,5.145088038723726,0.7,0.6666666666666666,1,7,2,2,0.6296296296296295,0.2391293102905875,0.671283903692661
50,50,crizotinib,BRCA,LR,TARGET,5.061990363770518,0.7,0.4166666666666667,0,5,4,3,0.03703703703703705,0.2668702512075886,0.7275085280624066
51,51,crizotinib,BRCA,LR,TARGET,5.072327606378911,0.7,0.6666666666666666,1,7,2,2,0.5185185185185185,0.24570010129269856,0.6845455293561556
52,52,crizotinib,BRCA,LR,TARGET,5.3153563192915065,0.7,0.6666666666666666,0,8,1,3,0.29629629629629634,0.23820268450209378,0.6693723136695603
53,53,crizotinib,BRCA,LR,TARGET,5.2925075375331065,0.7,0.6666666666666666,0,8,1,3,0.4074074074074074,0.22438570609609196,0.6404615989307677
54,54,crizotinib,BRCA,LR,TARGET,5.194762536590517,0.7,0.4166666666666667,2,3,6,1,0.6296296296296297,0.29396206044790185,0.7859348195023118
55,55,crizotinib,BRCA,LR,TARGET,5.07615201414137,0.7,0.75,1,8,1,2,0.48148148148148145,0.24619190159472237,0.6855294231848049
56,56,crizotinib,BRCA,LR,TARGET,5.36194795458214,0.7,0.6666666666666666,0,8,1,3,0.37037037037037035,0.2306234814338135,0.6540904138776537
57,57,crizotinib,BRCA,LR,TARGET,5.225063945066907,0.7,0.5,0,6,3,3,0.1111111111111111,0.2608301818741245,0.7149916199740994
58,58,crizotinib,BRCA,LR,TARGET,5.056587079099063,0.7,0.75,2,7,2,1,0.7777777777777778,0.24402751774002343,0.6811574431810626
59,59,crizotinib,BRCA,LR,TARGET,5.083162349233276,0.7,0.5,1,5,4,2,0.4444444444444444,0.2483639052117851,0.6898733779884233
60,60,crizotinib,BRCA,LR,TARGET,5.2382394792288025,0.7,0.5,1,5,4,2,0.5185185185185185,0.24802271232211803,0.6879658627006225
61,61,crizotinib,BRCA,LR,TARGET,5.093641547364781,0.7,0.6666666666666666,0,8,1,3,0.2962962962962963,0.24772242839435257,0.6885914422340461
62,62,crizotinib,BRCA,LR,TARGET,5.087103087603549,0.7,0.3333333333333333,0,4,5,3,0.11111111111111112,0.3050365137413676,0.8291913018568521
63,63,crizotinib,BRCA,LR,TARGET,5.209133034942898,0.7,0.6666666666666666,1,7,2,2,0.7407407407407407,0.2148915389401246,0.6199652627448463
64,64,crizotinib,BRCA,LR,TARGET,5.069642523693778,0.7,0.8333333333333334,1,9,0,2,0.6296296296296295,0.24573357862220602,0.6846131546988853
65,65,crizotinib,BRCA,LR,TARGET,5.089691318345313,0.7,0.75,0,9,0,3,0.40740740740740744,0.24535119005617864,0.683847978714232
